stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,360.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507.13,0,0,0,0,0,0
  5-6,26.3,177.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.05,0,0,0,0,3547.2,0,0,0,0,0,0
  7-9,7.32,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,71.41,4.19,0,0,19.47,337.42,0,0,0,0,0,0
 10-12,0,4.2,13.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.77,0,0,0,31.37,42.99,0,0,0,0,0,0
 14-21,0.89,0,0,9.58,0,0,0,0,0,0,0,0,0,0,1.36,30.06,0,0,1.22,2.63,0,0,8.29,0,2.61,0,0,490.71,0.85,0.85,1.86,0,0.84,0
 24-34,0,0,0,13.67,0,0,3.02,0,1.34,0.63,0,1.3,0,0,2.02,60.25,9.79,0,2.32,15.81,0,1.87,72.45,0,14.01,0,0,666.19,0,0,11.7,0,4.22,0
 36-46,0,0,0,4.01,0,0,0.71,0,6.13,0,0,0,0.8,0,2.47,16.86,9.19,0,0,15.96,0,0,37.89,0,17.21,0,0,884.7,0,1.11,3.72,0,0,0
 48-58,0,0,0,9.86,0.41,0,18.63,0,5.57,1.48,3.09,0,6.42,0.6,1.94,20.72,22.7,0,1.87,13.72,0,0.63,39.74,0,13.93,0,0,647.28,0,0.46,12.32,0,4.13,0
 60-70,0,0,0,13.32,0,0,11.15,0,11.16,0,0,0.57,5.85,0,14.81,11.74,4.61,0,0.71,10.04,0,0,16.02,0,2.73,0,0,503.06,0,0.71,0.77,3.35,0,0
 72-82,0,0,0,49.69,0.68,0,23.35,0,1.08,0.56,0.76,3.36,1.39,0,8.09,23.68,9.98,4.54,9.36,9.31,3,0,25.28,0,11.04,2.21,0,456.34,0,0,0,11.3,0,0.93
 84-94,0,0,0,62.06,0.92,0,13.6,0,6.23,0,3.07,4.74,3.21,0,16.57,28.06,8.88,0,16.38,18.26,0,0,16.95,0,6.2,0,0,1359.05,0,1.31,5.35,6.01,2.74,0
 96-106,0,0,0,96.68,0,1.09,15.9,0,9.67,0,1.57,17.72,0,0.8,13.16,51.38,15.2,2.07,20.07,27.98,0,0,36.97,0,14.99,2.72,0,1032.54,0,0,0,22.72,9.17,6.65
108-118,0,0,0.49,93.3,1.38,3.39,1.44,1.18,14.32,0.44,10.78,9.85,0,0,17.38,36.87,13.68,1.86,8.92,26.29,0,0.64,20.39,0,9.87,0,0,860.68,0,2.44,0,5.78,0.5,0
120,0,0,0,120.97,1.53,0,8.71,0,8.24,0,3.24,15.23,0,0,37.83,30.93,1.84,0,0,11.45,0,0,20.2,0,18.76,0,0,499.08,0,0,0,17.2,1.15,3.69
