stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,9.78,33.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.69,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.39,0,0,0.87,0.96,0,0,0,1.88,0,0,6.26,0,0,0,1,1.92,0.92,4.54,0,0
 24-34,0,0,0,0.87,0,0,0,0,0,0,0,0,0,10.03,0,0,0,2.66,0,0,1.01,0,1.57
 36-46,0,0,0,3.21,0,0,0,0,0,0,1.23,0,2.88,5.97,0,0,0,0,0,0,0.96,0,5.36
 48-58,0,0,0,3.07,0,0,0,0,0,0,1.67,0,0,3.75,0,0,0,0,0,0,6.28,0,0
 60-70,0,0,0,2.19,0,0,0.93,0,0,0,4.76,0.84,2.65,8.59,0,0,0,0,0,0,0.87,0,0
 72-82,0,0,0,11.22,0,0,0,0,0.77,0,2.36,0,0,3.67,1.58,0,0,0,0,0,2.22,0,2.28
 84-94,0,0,2.74,16.44,0,0,0,0,0,0.73,9.88,0,0,5.52,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.64,0,0,0.94,0,0,5.43,0,0,3.69,0.58,0,0.97,2.85,0,0,0,0,0
108-118,0,0,0,7.04,0,0,0,0,0,0,2.95,0,0,5.95,0,0,0,6.91,0,0,0,0.51,1.26
120,0,0,22.95,1.31,0,0,0,0,0,0,8.99,0,0,6.41,0,0,0,0,0,0,0,0,0
