stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,55.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09,0,0,0,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0.96,0,0,0,0,0,0.88,0,0,0,0.87,0,0,0,0,0,0.83,1.71,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0.74,0,0,0,3.22,0,0,1.07,0,0,4.79,1.6,0
 36-46,0,0,0,1.75,0,0,0,0,0.95,0,0,0,0,0,0.79,0,0,11.43,0,0,0,1.41,8.59,0,2.85,0
 48-58,0,0,0,0.49,0,0,0,0,0,7.48,0,0,0,1.37,0,0.77,0.69,5.57,0,0.5,0,0,0,0,1.36,0
 60-70,0,0,0,3.26,0,0,0,0,0,0,0,0,0,7.05,0,0,2.02,20.3,0,0,0,0,0,0,0,1.15
 72-82,0,0,2.25,5.47,0,0,8.14,0,0,0,0,0.56,0,0,0,0,0,7.69,0,0.71,0,4.56,0,0,0,0
 84-94,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0.67,0,1.43,0,0,0,0,2.66
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0.93,0,11.79,0,3.46,0,0,0,0,2.51,0
108-118,0,0,0,4.28,0.69,0.6,2.09,0,0,0,0,0,1.84,2.79,0,0,0,10.56,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,13.28,0,0,0,0,0,0,0,33.88
