stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.63,0,0,0,10.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.45,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.97,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.23,0.87,0,0,0,0,0,0.88,0,0,0,0,3.27,0,0,0,10.99,0,0,3.05,25.44,0,0,0,0,0,0,1.18,0.91,3.13,3.64,0,0,0,0,0
 24-34,0,0,0,4.22,2.83,0,12.89,0,0.61,0,2.52,0,0,0,0,0,0,0,0,81.3,0,0,7.62,34.7,0,2.8,0,0,0,0,0,0,0,3.03,0,0,3.65,0,0
 36-46,0,0,0,0,0,0,10.21,0,0,1.17,0.78,0,0,3.17,0,0,0,0,0,118.2,0,0,4.1,12.91,0,0,0,0,0,0,0,0,0,10.15,0,0,19.56,0,0
 48-58,0,0,0,0,0,0,56.47,0,0,26.52,1.12,0,0.57,0.4,0,0,0,0,0,273.11,0,0,8.02,41.57,0,0,0,0,0,0,0,0,0,20.45,0,0,2.64,0,0
 60-70,0,0,0,4.59,0,0,99.36,0,0,0.59,0,0,0,0,0,0,0,2.2,0,1305.14,0,0.64,4.33,43.61,0,0,0,0,0,0.59,0,0,0,1.02,0,0.98,1.29,1.47,5.35
 72-82,0,0,0,13.87,0,0,274.06,5.07,0,43.38,21.71,1.45,0,2.4,0.58,0.53,0.57,0,0.79,6026.86,0,39.72,12.3,192.17,1.46,4.64,1.58,0,0,0,0,0,0,14.15,0,10.73,7.03,235.35,0
 84-94,0,0,0,16.15,0,0,285.26,0,0,7.82,5.8,0.8,2.11,0,2.09,0,0,0,0,5714.18,0.65,7.66,7.94,96.96,0,0,0.79,0,0.57,3.91,0,0,0,24.99,0,10.6,7.07,127.14,0
 96-106,0,0.83,0,88.21,58.75,0,598.86,14.36,13.18,14.8,67.45,5.39,0,189.4,2.49,2.17,0,5.04,6.1,12259.77,5.18,22.4,28.04,454.18,0.79,1.59,0,0,3.24,27.56,0,0.82,0,11.29,0,68.35,7.26,708.93,10.18
108-118,0,0.61,0,30.9,4.06,42.79,366.31,0,3.33,41.91,14.93,1.37,0,26.23,1.97,1.24,0,9.44,3.82,15640.14,0,55.05,32.24,545.68,3.85,1.1,1.25,0,1.1,7.16,0,1.61,0,1.94,2.01,72.06,5.21,530.04,0
120,0,0,0,26.89,5.05,1.61,544.81,1.01,2.68,25.67,16.07,11.42,0,111.65,2.39,0,0,44.94,24.12,21491.41,0,42.99,73.01,671.58,21.4,2.49,0,0,0,11.11,0,2.39,0,1.91,4.63,5.64,8.86,916.53,0
