stage,blastomeres,epidermis,eye,fin_epithelia,gut,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,23.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.75,0,10.73,3.78,0,0,0
 14-21,0,0,0,0,0,0,2.22,0,0,2.52,0,0,0
 24-34,0,0,0,0,0,0,0.7,0,0,1.79,0.66,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.66,1.5,1.1,0
 48-58,0,0,0,0,0,0.39,0.73,0,0,4.23,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.32,0,0,0
 72-82,0,4.46,3.32,0,0,0,0,0,0,1.28,0,0,0.71
 84-94,0,1.33,0,2.78,0,0,0,0.78,0,3,0,0,0
 96-106,0,4.41,0,2.18,0.83,0,0,0,0,0.98,0,0,0
108-118,0,5.49,0,1.94,0,0,0,0,0,0,0,0,2.32
120,0,3.73,0,0,0,0,0,0,0,2.69,0,0,6.37
