stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,0,3.37,21.76,3.16,8.12,0,0,2.03,3.43,0,0,0,0,4.88,0,8.09,121.86,1.04,0,1.09,1.96,0,0,14.88,1.77,13.31,29.14,0,0.9
 24-34,0,1.32,6.38,0,16.88,1.67,0,3.31,0,0.67,0,1.4,0.95,18.04,0,9.43,216.84,0,0,0.62,0,0,2.32,0,0,3.53,46.79,0,14.79
 36-46,0,0,5.57,4.73,31.92,0,1,11.44,0,0,0,0,1.94,11.75,0,3.35,155.51,0.63,0.62,0.67,0,0,5.23,0,0,0,20.12,0,1.54
 48-58,0,0,1.66,0,23.6,0,0.98,11.4,0,1.37,0,0,0,11.35,0.4,0.5,81.14,0,0,1.05,0,0,3.77,0,0,0,19.01,0,0
 60-70,0,0,0.56,0,15.09,0,0,26.09,0,0,0,0,0,22.33,1.12,0.67,30.95,0,0.92,0,0,0,3.27,0,0,0,6.55,0,0.96
 72-82,1.09,0,0.53,0,9.09,0,0,15.36,0,0,0,0,0,11.42,0,0.52,27.19,0,0,0,0,0,0.66,0,0,0,3.59,0.5,2.64
 84-94,0,0,2.25,0,13.46,0,0.67,23.31,0.66,0,0,0,0,4.4,0,3.47,8.68,0,0,0,0,2.3,0.58,0,3.73,0,0.95,0,0.56
 96-106,0,0,0,2.71,17.68,0,0,4.82,0,0,0,5.73,0,15.23,1.76,1.75,6.97,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,3.07,0,4.3,0,0,4.01,0.7,0,0,3.13,0,5.53,1,0.71,18.14,0,0,0.69,0,0,0,0,0,0,3.47,0,0
120,0,0,8.35,0,5.86,0,0,0,0,0,1.74,4.26,0,7.85,0,0,21.63,0,0,0,0,0,1.36,0,0,0,0,0,0
