stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,immune,lateral.line,mesenchyme,neural,otic,periderm,pronephros,slow.muscle,vasculature
  7-9,0,0,0,4,0,0,0,0,0,0,11.55,0,0,0,0,0
 10-12,7.8,3.95,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.09,0,0.87,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0.55
 48-58,0,0,0,0.38,0.9,0,0,0,0,1.11,0.72,0,1.56,0,0,0
 60-70,0,0,0,0.61,0,0,0.89,0,0,2.15,10.16,0,0,0,0,0
 72-82,0,0,0.78,0,0,0,0,0,0,0,3.75,0,0,0,0,0
 84-94,0,0,2.13,0,1.15,0,1.89,0,0,0,0,0,5.57,0,0,0.94
 96-106,0,0,0.71,7.4,0,0.57,0,2.89,0.92,0,7.37,0,0,0,0.62,0
108-118,0,0,0.49,0,0.45,2.13,0,3.4,0,0,0,1.65,0,0,0,4.01
120,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0
