stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,spinal_cord,vasculature
  3-4,63.32,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,130.45,0,0,0,0,0,0,0,0,12.41,0,0,0,0
  7-9,0,4.49,0,3.5,0,0,0,0,0,23.41,7.02,24.15,0,0
 10-12,3.64,0,0,0,0,0,0,0,0,30.74,0,3.78,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.54,0,0,1.14,0
 24-34,0,0,0.69,0,1.08,0,0,0,0,0.83,0,0,1.04,0
 36-46,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.44,0,0,0,0,1.47,0
 60-70,0,0,0,1.12,0,0,0,0,0,0.88,0,0,0,0
 72-82,0,0,0,0.59,1.19,0,0.54,0,0,1.26,0,0,0,0.6
 84-94,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0
 96-106,0,0,0,0,2.17,0,0,0,0.67,4.99,0,0,0,0
108-118,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0
