stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,269.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0
  5-6,13.4,248.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.18,18.34,0,19.53,0,0,4.58,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,370.72,19.18,0,0,127.46,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,18.77,0,0,0,0,28.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.3,11.52,0,0,146.81,0,0,0,0,4.64,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,9.65,6.99,5.03,0,0,2.87,0,0,0,0,0,0,1.13,4.01,0,0,5.54,107.15,2.85,0,1.21,1.75,0,0,0.9,13.7,0.81,9.23,32.18,0,0,1.02,0,0
 24-34,0,0,1.95,0,5.22,0.81,16.69,0,0,3.28,0,2.7,0,0,0,0,1.49,26.59,0,0,8,367.65,3.75,5.99,0,0,0,0,0,0,0,2.07,67.15,0,0,2.27,0,0.63
 36-46,0,0,0,0,0.7,0,62.15,0,1.89,13.44,0,0,0,0,0,2.52,0,26.86,0,1.97,9.49,650.9,1.74,5.11,0,0,0,3.37,0.81,0,0,0,113.68,0,0,2.41,0,4.56
 48-58,0,0,0,0,2.83,0,126.65,0,1.05,31.14,0,0,1.71,0,0,1.92,0.7,38.89,0,0,2.82,565.48,0.39,1.51,0.42,0,0,0,0,0,0,0,99.8,0,0,1.28,0,1.6
 60-70,0,0,0,0,0.69,0,254.17,0,0,36.46,0,0,0,0,0,0,0,49.73,0,0.75,0.81,747.14,0,2.01,0.72,0,0,0,0,0,0,0,61.25,0,0,4,0.81,0
 72-82,0,0,0,0,2.17,0,137.71,0,6.22,22.52,0,1.17,0,0,0.88,0,0,44.16,0,0.7,0,358.13,0,1.43,0.51,0,1.97,0,0,0,0,0,36.2,0.5,0,4.78,0,0
 84-94,0,0,0,0,6.9,7.38,84.51,0.58,2.21,19.36,0,2.25,1.43,0,0,0,0,56.69,0,1.78,3.55,312.32,0,2.26,1.25,0,0.79,6,0,0,0,0,43.58,0,2.08,1.91,0,0
 96-106,0,0,0,0,2.44,0,88.43,0,0,25.35,0,1.22,1.19,1.48,0.59,7.08,0,34.98,0,0,0.71,150.48,0,4.85,0,0,0,0,0,0,0,0,17.75,0,0,14.99,0,0
108-118,0,0,0,0,5.13,0,54.29,0.49,0,23.63,0,0,3.12,0,0,0,0.47,49.76,2.58,0.72,2.83,202.93,0,1.9,0,0,2.1,0,0,0,0,0,3.22,0,0,3.37,0.65,0
120,0,0,0,0,5.47,0,139.8,0,0,36.32,0,4.06,1.53,0,0,0,0,45.29,0,0,2.53,296.56,0,0,0,0,0,0,0,0,0,0,1.64,0,4.12,0,0,1.64
