stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,289.23,1850.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.69,0,0,0,0,0,0
  5-6,61.35,830.13,8.02,0,0,0,0,0,0,0,0,0,0,66.91,17.23,0,13.43,22.96,0,0,0,0,0,0
  7-9,24.22,14.18,14.16,0,0,0,0,0,0,0,0,0,0,207.5,9.82,0,154.03,0,6.96,0,12.75,0,0,0
 10-12,0,31.12,50.74,0,13.84,0,0,0,0,0,0,0,0,120.01,8.79,0,53.9,0,9.03,0,113.91,0,0,0
 14-21,0,0,0,7.81,6.16,4.94,0,0,0,0,0,18.26,5.06,40.32,0,0,0,0,0,3.08,2.98,7.7,4.63,0.96
 24-34,0,0,0,2.17,0,33.76,0,0,0,0,0.7,12.34,0.63,23.26,0,0,0,0,2.12,0,0,1.84,6.3,0
 36-46,0,0,0,0,0,34.26,0,0,0,0.95,0.77,2.22,0.62,19.32,0,0,0,0,0,0,0,0,3.37,0
 48-58,0,0,0,0,0,16.58,0,0,0,0,0,2.1,0.39,29.77,1.35,0,0,0,0,0,0,0,2.29,0
 60-70,0,0,0,0,0,27.42,0,0,0,0,0,1.39,0,14.89,0,0,0,0,0,0,0,0,4.22,0
 72-82,0,0,0,0,0,17.03,0,0,1.38,0,0,1.86,0,6.21,0,0,0,0,0,0,0,0,4.25,0
 84-94,0,0,0,0,0,33.23,0,1.64,0,0,0,1.74,0,12.17,0,0,0,0,0,0,0,0,1.92,0
 96-106,0,0,0,0,0,27.65,0,0,0,0,0,2.3,0,2.35,0,0.83,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.1,6.12,0,0,0.48,0,0,1.68,0,6.58,0,0.48,0,0.45,0,0,0.64,0,0,0
120,0,0,0,0,0,31.62,1.33,0,0,0,0,0,0,44.27,0,0,0,0,0,0,0,0,0,0
