stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,40.96,0,0,16.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,48.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.16,0,23.89,0,0,1.17,0,20.26,0,1.05,0,0,0,3.84,2.5,49.61,1.14,0,0
 24-34,0,0,0,0.85,0,14.23,0,0,2.57,1.23,25.71,0,0.71,0,0,0,8.46,0,41.41,0,0,0
 36-46,0,1.44,0,3.41,0.65,20.74,0,0,1.13,0,28.09,1.52,0,0,0,0,5.86,0,39.18,0,0,0
 48-58,0,0,0,5.74,0,20.67,0,0,3.65,0.92,32.29,3.02,0,0,3.69,3.76,1.24,0,39.85,0,0,0
 60-70,0,0,0,13.55,0,6.99,0,0,2.02,1.17,21.42,0,0,0,3.85,0,0,0,25.02,0,0,0.72
 72-82,0,0,1.33,17.3,0,12.27,0.56,3.21,2.93,0,34.9,4.94,0,0,0,0,0,0,11.93,0,0.76,0
 84-94,0,0,2,20.4,0,26.23,0,1.3,2.34,0.66,25.51,8.84,0,0,0,0,6.15,0,8.89,0,0,0
 96-106,0,0,0,9.45,0.71,19.92,0,0,2.09,0,29.6,6.08,0,0,0,0,0,0,5.85,0,0,0
108-118,0,0.61,0,2.09,0,18.7,0,1.47,2.22,1.07,32.18,9.32,0,0,0,0,0.43,0,8.45,4.25,0,0
120,0,0,0,13.33,0,4.2,0,0,13.99,0,68.37,0,0,0,0,0,12.15,0,1.17,0,0,0
