stage,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95,5.12,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.21,0,0
 24-34,0,0.86,0,0,0,0,0,6.06,0,0,0.86,0,0,15.78,0,5.2,0,0
 36-46,0,0,0,0,0,0,0,4.42,0,0,0,10.31,0,16.03,0,0,0,0
 48-58,0,0,0,0,0,6.09,0,1.85,0,0,0,3.55,0,15.37,0,0,0,0
 60-70,6.11,0,0,0,0,0,0,1.02,0,0,0,1.72,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.8,0,3.49,0,6.76,0,6.21,0,0.57,3.93,0
 84-94,0.7,0,0,0,4.63,8.72,0,5.84,0,0,0,11.52,0,16.93,0,0,0,1.81
 96-106,1.32,0,0.57,1.12,2.57,0,1.89,12.09,0,0,0,10.2,0,5.82,0,6.49,0,0
108-118,5.6,0,0,0,16.52,0,0,17.49,3.03,0,0,22.13,0,2.97,0,2.36,0,0
120,3.54,0,1.62,0,18.81,0,10.04,6.56,0,0,0,1.04,3.79,0,0,2.7,0,0
