stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  7-9,0,4.44,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.17,0,0,23.9,0,0,0,24.2,0
 24-34,0,0,1.32,0,0,0,0,0,0,1.65,0,0.84,124.71,0,0,0,85.83,0
 36-46,0,0,0.72,0,0.95,0,0,0,0,0,0,0,46.25,0,0,0,120.75,0
 48-58,0,0,0,0,11.52,0,0.46,0,0,0.55,0,0,92.9,0,0,0,122.39,0
 60-70,0,0,0.68,0,32.94,0,0,0,0,0,0,0,83.85,0,0,0,114.67,0
 72-82,0,0,2.86,0,31.03,3.9,2.88,0.58,0,1.92,0,0,154.89,0,0,0,63.44,0
 84-94,0,0,1.45,0,17.26,0,5.34,0,0,0,0.81,0,149.7,0,0,0.79,13,1.36
 96-106,0,0,1.18,0,15.61,0,1.24,3.84,2.39,3.14,0,0,118.59,3.61,0,0,19.69,0
108-118,0.71,0.89,3.22,0,11.09,0,2.41,0.61,0,7.1,0,0,216.65,0.91,0,0.93,24.95,0
120,0,1.28,0,1.71,11.19,0,4.41,0,0,0,0,0,206.33,0,0,0,52.3,0
