stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,106.57,1161.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.15,0,0,0,0,0
  5-6,22.71,998.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.02,0,0,0,0,24.81,0,0,0,0,0
  7-9,35.44,26.76,23.2,0,0,0,73.39,0,0,23.11,0,0,0,0,0,0,610.35,26.26,0,0,170.91,10.05,19.86,0,0,0,0
 10-12,0,30.07,55.97,0,4.44,0,60.74,0,0,28.76,0,0,0,0,0,0,680.29,48.2,0,0,178.64,10.27,23.75,35.6,0,0,0
 14-21,0,0,0,3.79,0,0,2.17,0,0,0,0,0,0,0,3.43,0,18.79,0,0,0,1.02,0,0,0,0.83,4.49,0
 24-34,0,0,0,3.53,0,0,2.34,0,1.02,0,0,0.86,0,0,6.05,0.92,37.94,0,0,0.72,0,0,0,0,0,9.93,0
 36-46,0,0,0,0,0,0,1.58,0,1.57,0,0,0,1.11,0,0,0,53.56,2.01,0,0,0,0,0,0,0,9.16,0
 48-58,0,0,0,0,0,0,0.4,0,4.6,0,0,0,0,0,2.39,0,11.55,0,0.85,0,0,0,0,0,0,3.46,0
 60-70,0,0,0,0.71,0,0,1,0,1.86,0,0,0,0,0,0,0,52.09,0,0,0,0,0,0,0,0,6.27,0
 72-82,0,0,0,0,0,0,8.78,0,0.49,0,0,0,0,0.87,0,0,49.76,0,0,0,0,1.4,0,0,0,11.84,0
 84-94,0,0,0,1.07,0,0,5.97,0,0,0,0,0,0,0,1.15,0,30.52,0,0,0,0,0,0,0,0,5.64,0
 96-106,0,0,0,0,0,0,9.93,0,2.23,0,0,1.69,0,0,1.47,0,37.35,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.85,0,0,13.66,0,4.56,0,6.49,0,0,0,6.57,0,32.33,0,0,0,0,0,0,0,0,4.67,0
120,0,0,0,0,19.38,14.01,0,2.41,7,0,0,0,0,0,1.37,0,96.33,0,3.06,0,0,0,0,0,0,0,1.35
