stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.34,19.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,101.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,6.87,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,105.83,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.26,0,6.89,0,0,0,4.17,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,31.05,3.1,0,0,56.73,0,0,0,0,0,11.77,0,0,0,0,0,0
 14-21,0,0,0,0,3.99,1.08,0,0,0,0,0,0.9,0,0,1.1,0,0,0,0,0,0,0,0,0,49.87,2.87,0,0,0,0,1,3.68,0,0,93.59,12.56,0,0,0,0,0
 24-34,0,0,0.71,0,1.44,0,0,10,0,0,0,2.05,0,0,0,0,0,0,0.78,0,19.11,0,0,6.53,100.22,0,0,0,0,0,0.72,0,0,0.99,4.72,21.99,0,0,1.72,0,0
 36-46,0,0,0,0,2.97,0,0,10.68,0,0.62,0.61,5.77,0,0,0,0,13.05,0,0,0,43.73,0,0,10.83,169.23,0,0,3.21,0,0,4.38,0,0.59,0,0,43.61,0,0,9.14,0,0
 48-58,0,0,0,0,1.32,0,0,41.36,0,0,4.12,5.62,0,0,0,0,0.5,0,0,0,140.82,0,2.02,22.09,131.6,0,1.07,0,0,0,7.23,0,1.17,0,0,35.33,0,0,18.34,0,0
 60-70,0,0,0,0,5.01,0,0,31.61,2.57,0,1.28,3.19,0,0,1.7,0,0,0,1.57,0,319.64,0,1.74,21.68,67.64,0,0,0.81,0,0.97,6.11,0,0,0,0,24.96,0.81,3.37,27.2,0,5.05
 72-82,0,0,0,0,2.98,0.8,0,69.05,0,0,2.07,10.78,0,0,0,0,0,0,0,5.45,432.43,0,2.08,20.05,80.42,0.55,0,1.51,0,0,3.37,0,0,0,0,5.9,2.31,0,11.76,4.09,0
 84-94,0,0,0,0,4.04,6.65,0,34.14,0,0,3.76,8.35,0.75,0,0,0,0,0,0,0,363.19,0,5.34,18.31,61.63,0,0,1.42,0,3.51,1.34,0,0,0,0,7.05,0,1.03,13.2,9.04,2.72
 96-106,0,0,0,0,17.14,5.19,0,25.35,0,0,15.53,4.9,3.02,0,0.71,0.8,0,7.73,0,0.59,332.3,0,3.74,30.42,87.64,0,0.56,2.35,0,5.76,3.72,0,0.71,0,0,1.67,1.68,1.48,12.06,8.52,0
108-118,0,0,0,0,13.38,1.48,1.38,47.01,0,1.7,2.93,10.28,0,0,0,0,0,0,0,0,450.83,0.41,4.86,14.52,51.6,0.59,0,2.77,0,6.83,5.34,0,0,0,0,1.62,0.52,6.51,10.4,8.56,0
120,0,0,0,0,10.64,6.33,0,30.28,0,2.75,2.28,16.88,2.52,0,0,0,0,0,0,0,490.69,1.56,0,8.49,79.82,3.68,1.26,2.43,0,2.54,0,0,0,0,0,0,1.81,1.95,19.31,4.52,0
