stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.2,148.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.64,131.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,100.93,5.52,0,62.97,0,0,11.62,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,106.24,41.55,0,0,185.84,0,3.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.1,0,28.09,0,0,6.63,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,110.47,52.76,0,0,33.63,0,20.01,11.4,0,3.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.03,17.16,8.5,0,0,0,0.93,0.83,0,2.59,0,0,0,0,0,0,3.39,0,0,4.01,22.98,4.63,0,0,0,0,3.79,0,13.54,0,1.32,8.05,15.51,0,0,0,0,0.87
 24-34,0,0,0,0,8.56,0,1.46,3.18,0,4.83,0.67,0,1.04,0,1.28,0,0.63,0,0,6.89,2.7,0.69,8.46,43.68,3.79,5.11,4.84,0,0,7.96,0,0,2.16,0,0,19.28,0,0,9.99,0,3.2
 36-46,0,0,0,0,2.68,0,5.11,0.85,0,3.32,0,0,0,0,3,0,0,0,5.39,14.91,2.27,0,5.69,67.17,0,3.55,0,0,0,7.38,0,0,0.58,0,0,37.73,0,0,16.41,0,9.8
 48-58,0,0,0,0,6.83,0,11.49,0.89,4.66,7.45,0,0,0,0,0,0,0,0,6,17.85,4.62,0,0.95,111.49,0,0,0,0,0,7.49,0,0,0,0,0,20.08,0,0,4.69,0,3.13
 60-70,0,0,0,0,0.77,0,45.79,5.26,0,13.17,0,0.89,0.78,0,0,0,1.13,0,0.93,62.35,3.03,2.86,1.9,122.67,0,2.01,0,0,0.84,20.23,0,0,0,0,0,21.86,0,0.9,7.99,0,5.42
 72-82,0,0,0,0,1.47,0,48.82,2.88,3.51,8.65,0,0,0.84,2.16,0,0,0.62,0,1.81,37.13,19.19,3.61,2.47,145.95,0,2.17,4.95,0,2.35,2.83,0,0,0,0,0,10.26,1.35,0,8.05,1.25,3.61
 84-94,0,0,0,0,8.01,0,41.91,0.55,1.54,30.12,1.34,0.71,0,0,1.9,5.71,0.69,0,7.22,48.3,14.24,3.85,4.19,87.92,0.63,7.92,8.1,0,0,15.42,0,0,1.15,0,0,10.46,8.05,1.28,17.91,0.77,0
 96-106,0,0,0,0,0.85,0,46.76,3.21,2.35,11.85,0.81,0,2.28,0,2.06,0,3.09,1.8,3.92,14.42,5.01,3.23,1.2,59.33,0,3.87,4.24,0,0,18.96,0,0,0,0,0,5.65,9.69,0,7.19,0,3.18
108-118,0,0,1.26,0,5.41,0,44.94,3.31,0.73,23.42,1.6,0,0,2.67,2.5,3.4,1.5,0,16,26.85,12.11,1.32,0,106.31,0,5.6,4.75,0,2.05,8.2,0,0,0,0,0,4.5,8.17,0.99,5.65,0.44,0.53
120,0,0,0,0,1.16,0,37.7,3.89,0,21.43,8.16,0,0,0,0,0,5.46,0,1.64,9.73,0,0,11.43,145.76,0,4.59,11.81,0,0,11.09,0,0,0,0,0,31.14,7.39,0,0,0,0
