stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,45.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,9.28,8.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.68,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.75,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.33,0,0,0,20.85,0,0,13.87,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,34.66,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,10.35,0,0,0,0,1.55,0.91,92.36,0,0,2.11,0,0,101.38,0,0
 24-34,0,0,0,1.05,147.67,13.18,0,3.14,0,0,2.08,0.78,0,8.97,0,1.96,0,3.76,10.73,0,3.04,0.65,0,1.52,52.62,0,0,0,0,1.11,0,522.49,0,3.15,13.27,0,0,1354.43,0,0
 36-46,0,0,0,0,178.95,0,0,13.1,4.31,0,0,0,0,10.9,0,0,0,0,4.05,6.71,2.75,1.96,0,4.07,57.31,0,0,0,0,15.12,0,337.12,0,0,11.2,0,0,897.48,0,0
 48-58,0,0,0,0,120.82,0,0,16.19,0.55,0,5.45,0.45,0,4.49,0,0,0,1.41,0,6.41,7.07,0.92,0.42,2.1,97.49,0.94,1.3,0,0,0.69,0,137.01,0,0,9.17,0,0,594.42,0,2.53
 60-70,0,0,0,0,91.01,1.4,0,10.56,0.9,0,13.64,17.3,0,9.04,0,0,0.89,0,0,6.01,1.71,4.98,0,0,37.93,0,0,0,0,0,0,177.79,0,0,7.89,0,0,347.97,0,0
 72-82,0,0,3.46,0,20.17,0.5,0,23.37,0.8,8.5,7.86,118.81,0,1.62,0.54,0,0,1.48,0,5.05,6.71,1.42,1.24,0,95.14,0.88,1.04,0,0,9.67,0,259.38,0,0,9.33,0,0,420.68,0,0
 84-94,0,0,0,0,23.61,2.97,5.53,36.11,0.57,2.02,0.86,286.19,0,0,0,0,0.68,0,13.7,11.56,14.66,1.51,0,2.81,38.11,0,0,0,0,9,0,423.77,0,0,1.7,2.5,0,523.69,0,21.59
 96-106,0,0,2.92,0,6.15,8,0,56.21,0,0,7.99,316.24,0,0.61,2.39,0,0.73,0,15.61,11.21,13.32,1.22,2.84,1.95,78.55,0,0,0,0,7.76,3.39,316.35,0,0,5.79,0,0,557.48,1.31,0
108-118,0,0,1.62,0,6.08,7.47,0,24.36,4.16,3.56,1.29,265.86,0,0,0.84,0,0,0.92,2.94,19.28,22.77,0,0,0,36.31,0,2.19,6.07,0,0.52,0,306.23,0.49,0,1.46,0,0.71,515.5,0,0
120,0,0,0,0,12.47,0,0,19.77,0,9.43,41.24,225.39,5.2,0,0,0,0,0,0,3.15,15.5,0,0,0,36.31,0,0,0,0,2.74,0,146.95,0,0,0,0,0,374.67,3.79,0
