stage,blastomeres,epidermis,eye,hatching.gland,mesenchyme,muscle,neural,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,44.02,0,0,0,0,0,0,0,0,0,0
  5-6,44.9,0,0,11.32,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,42.73,0,0,0,0
 10-12,0,0,0,0,0,0,20.23,0,0,0,0
 14-21,0,0.82,1.84,0,0,1.94,1,0,2.09,0,0
 24-34,0,0,0,0,0.84,0,3.18,0,0,0,0
 36-46,0,0,0.62,0,0.73,0,0.79,0,0,0,0
 48-58,0,0,2.34,0,0,0,8.15,0,0.67,0,0
 60-70,0,0,0.89,0,0,0,0.66,0,0,0,1.82
 72-82,0,0,0,0,0,0,3.62,0,0,0.54,0
 84-94,0,0,0,0,0,0,0,0.69,0,0,0
108-118,0,0,0.76,0,0.6,0,4.24,0,0,0,0
