stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.epithelia,glial,gut,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,23.61,752.91,0,0,0,0,0,0,0,0,0,0,117.82,0,0,0
  5-6,25.62,372.69,0,0,0,0,0,0,0,7.48,0,0,21.96,0,0,0
  7-9,0,0,3.3,0,3.21,0,0,0,0,33.95,0,7.8,0,7.32,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.03,0,3.15,0,0,0,0
 14-21,0,0,1.32,0,0,0,0,1.58,0,2.42,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.96
 36-46,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0
 60-70,0,0,0,0,16.49,0,0,0,2.86,2.48,0,0,0,0,0,0
 72-82,0,0,0,0,8.75,0.56,0.5,0,0,7.37,0,0,0,0,0,1.08
 84-94,0,0,0,0.65,20.66,0,0,0,3.46,1.14,0,0,0,0,0,0
 96-106,0,0,0,0,29.09,0,7.94,0,0,15.26,1,0,0,0,0,0
108-118,0,0,0,0,14.43,0,0,0,0,6.51,0,0,0,0,0,0
