stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,187.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.99,396.12,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0
  7-9,9.71,10.7,12.07,0,57.14,0,9.76,0,0,271.45,6.28,0,141.48,0,0,0
 10-12,0,4.98,0,0,11.06,0,0,0,0,183.98,0,0,41.25,0,0,0
 14-21,0,0,0,0,0.81,0,0,1.17,0,7.31,0,0,0,0,1.97,2.78
 24-34,0,0,0,0,3.49,0,0,0,0,3.71,0,0.75,0,0,0,1.14
 36-46,0,0,0,0,0,1.51,0,0,1.67,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.52,0,0,0,1.62,0,0,0,0,0,0
 60-70,0,0,0,0,1.14,1.05,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.01,0,0,0,3.56,0,0,0,0,0,0
 84-94,0,0,0,0,4.38,0,0,1.4,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0
108-118,0,0,0,2.88,0,0.51,0,2.22,0.44,0.85,0,0,0,0,0,0
