stage,blastomeres,epidermis,eye,gut,mesenchyme,muscle,neural,otic,somites,spinal.cord,vasculature
  5-6,25.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.2,0,0,0.92,0,1,0,2.11,0.92,0
 24-34,0,0,0,0,0.77,0,0.66,0,0.6,0,0.84
 36-46,0,8.34,0,0,0,0.59,1.74,0,0,1.42,0
 48-58,0,0,1.32,0,0,0,4.05,0,0,0.39,0
 60-70,0,0,4.18,0,0,0,0,0,0,0,0
 72-82,0,0.69,0.79,0,0,0,7.36,1.24,0,0,0
 84-94,0,0,0,1.01,0,0,0.67,0,0,0,0
 96-106,0,0,0,0,0,0,0.95,0,0,0,0
108-118,0,0,0.62,1.61,0.43,0,0,0,0,0,0
