stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,119.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,34.01,0,0,0,0,0,0,0,0,0,0,0,0,0,179.86,0,0,0,44.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,23.74,0,5.73,0,0,0,48.01,0,0,0,0,0,0,0,0,0,0,0,0,0,555.9,18.93,0,0,65.87,0,0,8.7,0,20.47,0,5.32,0,0,0,0,0
 14-21,0,1.32,1.95,15.36,2.13,0,45.8,0,0,7.64,0,0,0,0,0,0,0,18.59,0,15.38,375.21,7.84,4.17,2.72,1.73,0,0,2.23,3.63,1.75,6.09,120.27,0,0,0,0,0
 24-34,0,3.24,2.01,12.76,0,0,56.27,0,0,18,3.07,0,0,0,0,0,1.1,41.5,0,18.42,767.2,0.65,3.02,0.63,0,0,1.37,0,0,3.02,0,198.24,0,0,4.58,0,0
 36-46,0,0,0,0.65,0,0,58.25,0,0.75,54,1.74,0.69,0,0,0,0,0,54.45,0.67,16.29,1214.11,2.68,3.11,0,0,0,2.89,0,0,0,0,273.95,0,0,4.19,0,0
 48-58,0,0,0,0.9,0,0,128.47,0,3.84,81.54,0,0.44,0,0,0,1.56,0,73.49,1.42,11.82,1100.02,1.2,3.51,5.09,0,0.4,0,0,0,0,0,207.88,0,1.21,8.92,0,0
 60-70,0,0,0,0.59,0,0,255.06,0,4.83,80.21,0,1.69,0,0,0,0,1.06,100.57,1.04,7.63,1379.44,0,3.22,0,0,0,0,0,0,0,0,234.95,0,4.31,11.96,0,1.45
 72-82,0,2.07,0,0,3.97,0,224.99,0,7.67,70.04,3.39,1.43,0,0,0,0,0,120.66,7.56,7.22,1062.42,0,4.53,7.23,0,0,0,0,0,0,0,115.47,0,0,6.12,2.36,0
 84-94,0,0,0,7.86,0,0,166.39,0,4.08,67.95,0.93,0,0,0,0.76,0.61,0,79.35,6.59,4.58,780.62,0,2.57,0.67,0,0,0,0,0,0.56,0,122.19,0,0,9.28,10.46,8.64
 96-106,0,0,0,4.28,0,0,140.21,10.58,0.75,60.73,3.66,0,0,0.99,0,0,0,115.47,1.14,6.41,722.8,0,3.93,4.7,0,0,5.11,0,0,0,0,51.59,0,3.04,10.73,0,5.49
108-118,0,1.62,0,6.37,2.28,2.73,149.3,0,4.72,99.76,1.58,0,1.14,0.86,0,0.62,0,117.09,3.07,3.8,838.03,0.69,6.03,4.31,0,0,5.19,0,0,0,0,42.03,3.03,0,5,5.56,0
120,0,0,0,36.07,15.63,0,140.52,0,8.21,155.01,1.61,0,0,0,0,1.69,3.61,163.46,0,13.72,884.38,0,4.49,2.92,0,0,0,0,0,0,0,32.09,0,0,5.99,0,0
