stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,34.92,604.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.43,0,0,0,0,0,0,0,0
  5-6,0,110.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.71,4.75,0,75.7,0,0,7.93,0,16.27,0,0,0,0
 14-21,0,0,0,2.14,0,0,0,12.03,0,0,0,0,0,0,0,0,0,0.97,10.25,0.93,0,0,12.59,0,6.14,122.82,33.24,50.89,0,0,0
 24-34,0,0,0,1.64,5.48,0,0,7.95,0,0,4.75,0,0,0,1.16,0,0,0,16.44,0,0,0,62.08,0,0,6.81,2.9,13.08,0,0,0
 36-46,0,0,0,0,13,0,0,3.56,0,0,5.87,0,0,0,0,0,0,0,21.29,0,0.6,0,109.44,0,0,0,0,15.75,0,0,0
 48-58,0,0,0,0.61,21.39,0,1.35,2.28,0,0,2.24,0,0,2.06,1.98,0,0,0,16.45,0.42,4.16,0,52.93,0,0,0,0,3.47,0,0,0
 60-70,0,0,0,2.05,16.71,0,3.39,2.59,0,1.71,0,0,0,1.16,3.68,1.15,0,0,12.16,0,7.97,0,51.44,0,0,0,0,1.07,0,0,0
 72-82,0,0,0,10,42.3,0,0,23.93,0,0,0,2,0,1.4,7.93,0,0,0.64,28.02,0,29.2,0,15.94,4.96,0,0,0,0.92,0,0,0.96
 84-94,0,0,0,11.17,14.1,0,0,26.49,0,0,0.8,0,0.67,2.11,1.28,1.58,0,2.31,9.96,0,57.51,0,46.26,0,0,0.73,0,0,0,0,0
 96-106,0,0,0,10.64,76.82,3.61,0,34.44,1.07,0,0,0,0,0,1.92,0,0.58,0,11.64,0,67.5,0,10.91,4.11,0,0,0,0.66,0,0,0
108-118,0,0,0,2.28,129.46,0.54,0,15.86,0,0,0,3.47,0,1.29,4.65,0,0,4.82,23.81,0,76.28,0,4.54,0,0,0,0,0,0.5,0.87,0.49
120,0,0,0,1.33,30.09,0,0,18.65,0,0,0,0,0,0,1.63,0,0,0,11.06,0,64.23,0,1.34,0,0,0,0,2.04,0,0,0
