stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,3.65,0,0,0,148.74,0,0,14.02,0,3.5,0,3.32,1.04,0,0,1.23,0,1.41,0
 24-34,0.71,49.9,3.62,0,0,200.06,0.94,0,47.31,0,0,0.61,35.05,0,0.65,3.59,0,1.95,0,0
 36-46,0,0,0,0,0,149.29,0,0,10.63,0,0.83,0,27.28,0,0,0.58,0,0,1.74,0
 48-58,0,0,1.88,0,0,44.9,0,0,4.36,5.15,0,0,4.79,0,0,0.48,0,0,0,0
 60-70,0,0,0.7,0,1.63,8.42,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
 72-82,0,0,2.28,1.08,0.9,10.11,0,0,1.07,0,1.65,0,7.65,0,0,0.51,0,0.71,0,0
 84-94,0.89,0,0,0,0,3.99,0,0,0,0,3.28,0,0,0,0,7.55,0,0.63,0,0
 96-106,0.75,0,0,0,2,6.81,0,1.98,0,0,0,0,4,0,0,1.34,0,0,0,2.57
108-118,1.99,0,5.03,0,0,1.8,0,0.71,0,0,0,0,3.21,0,0,0.95,0,0,6.12,0
120,9.04,0,5.16,1.26,4.83,20.13,0,0,0,0,11.59,5.52,0,0,0,4.39,0,0,703.23,0
