stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.72,279.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.54,436.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,50.31,6.04,0,7.67,0,6.96,0,89.16,0,0,0,0,0,51.34,0,0,0,0,0,0,0,0,0,0,0,568.17,70.86,0,0,192.69,0,8.28,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,9.19,0,38.41,0,22.5,0,74.07,0,0,0,0,0,31.9,0,0,0,0,0,0,0,0,0,0,0,842.82,146.06,0,0,198.72,0,3.81,21.2,0,11.11,3.24,0,0,0,0,0,0
 14-21,0,0,2.44,6.73,194.52,21.8,0,35.01,0,4.94,0,11.23,7.19,1.86,0,0,0,0,0.93,0,0,57.36,0,0,48.12,443.81,64.55,4.06,6.47,2.68,0,22.61,0.91,48.24,3.41,45.69,216.55,0,0,2.27,0,0
 24-34,0,0,2.86,4.28,54.88,1.26,0,89.4,0,15.77,9.18,28.36,2.48,0,8.74,0,8.3,0.92,5.55,5.94,2,122.15,2.4,0,77.7,1133.7,20.83,15.82,9.61,0,0,81.51,2.04,0,2.29,14.56,298.75,0,0,24.01,0,0
 36-46,0,0,0.95,0.63,28.92,1.22,0,141.22,0,6.16,11.32,78.56,0.67,0,1.7,0.89,0,0,4.08,0.85,1.49,138.68,4.2,3.49,48.71,1262.91,28.54,17.45,16.77,0,0,66.56,0.81,0,2.84,0,290.56,0,1.04,12.17,0,0
 48-58,0,0,0.88,0,57.33,0,0,355.31,0,3.25,13.84,109,0,0,0.6,3.96,0,3.88,5.23,6.39,0.42,261.28,2.99,4.69,38.08,1620.55,15.68,15.55,6.65,0,0.61,54.62,0.65,0,6.84,0,283.29,0,0,14.52,0,9.04
 60-70,0,0,1.27,0,27.1,0,0,780.19,0,10.67,16.42,153.77,0.6,0.63,0.84,7.87,0,8.83,0.67,1.2,0,309.31,7.54,3.14,8.9,1537.19,4.04,8.16,14.28,0,0,51.25,0,0,0,0,228.35,0,3.87,5.26,2.67,4.46
 72-82,0,0,4.33,0,43.69,0,0,1051.19,0.52,7.74,26.82,168.7,6.96,0,8.03,4.81,2.34,1.12,5.81,3.04,0,478.9,4.14,12.18,37.09,1784.33,3.34,15.98,17.18,0,0.83,36.74,0.56,0,0,0,161.13,14.65,2.44,27.84,12.34,6.7
 84-94,0,0,5.14,0,40,6.56,0,542.14,0,3.59,24.12,74.59,11.86,0,0,7.04,8.56,7.15,5.37,1.51,1.24,388.04,11.98,9.2,24.06,1011.09,2.6,9.12,11.83,0,0,113.12,0,0,0.7,0,111.83,10.95,13.36,17.55,6.88,2.83
 96-106,0,0,2.18,0,44.63,10.42,0,572.72,0,9.74,12.23,121.9,19.29,0,4.29,17.27,3.87,1.73,14.29,3.87,4.93,234.03,3.78,6.82,13.97,986.64,6.18,7.57,14.03,0,1.28,88.78,0,0,2.29,0,37.9,18.84,2.34,15.48,8.55,3.81
108-118,0,0,1.52,0,37.67,1.23,4.71,469.28,0,10.06,16.76,104.22,30.59,0,6.67,7.36,6.05,7,2.46,6.81,2.51,280.02,10.89,8.5,18.94,1188.84,3.3,13.51,15.17,0,3.29,41.41,0,0,2.55,0,40.57,22.05,6.22,29.82,7.62,7.64
120,0,0,1.37,0,59.45,0,14.01,357.09,0,13.52,6.01,161.25,2.64,0,10.03,10.79,6.86,0,2.83,24.72,1.45,152.06,1.59,24.76,9.36,1096.58,0,0,7.31,0,0,46.37,0,0,0,0,10.17,13.51,4.4,17.85,3.4,4.74
