stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,61,1440.62,0,0,0,0,0,0,0,0,0,0,0,0,0,57.31,0,0,0
  5-6,45.89,884.93,0,0,0,0,0,0,0,0,15.53,0,0,0,6.56,20.28,0,0,0
  7-9,4.39,6.31,0,0,8.39,0,0,0,0,0,44.59,9.91,0,0,25.55,0,0,0,0
 10-12,0,0,0,0,9.14,0,0,0,0,0,51.37,8.31,0,0,0,0,0,0,0
 14-21,0,0,2.94,0,0,0,0,0,0,0.95,4.56,0,0,0,0,0,1.16,1.02,6.61
 24-34,0,0,0,0,1.11,0,0,0,4.19,0,11.01,0,0,0.7,0,0,0,0.73,1.1
 36-46,0,0,0.71,0,1.74,0.67,0,0,1.15,0,29.98,0,0.64,0,0,0,0,0,2.25
 48-58,0,0,0,0,1.29,0.46,0,0,1.41,0.78,20.12,0,0,0,0,0,0,0,0.89
 60-70,0,0,0,0,6.37,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.46,0,0,0,0,0,9.48,0,0,0,0,2.56,0,0,1.21
 84-94,0,0,0,0,9.73,0.82,0,0,0,0,8.58,0,0,1.44,0,0,0,0,0
 96-106,0,0,0.8,10.33,0,0,0,0,6.62,0,1.39,0,0,0,0,0,0,0,0
108-118,0,0,3.01,0,1.37,0,0.48,1.09,0,0,8.41,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.74,0,0,0,0,16.29,0,0,0,0,0,0,0,0
