stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pronephros,slow_muscle,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0
 14-21,0,0.9,0,0,1.31,0,0,1.72,0,0,3.75,0,0,0,0,13.78
 24-34,0,0.78,0,0,2.2,0,0.6,3.06,0,0,4.13,0,1.32,1.79,0,6.17
 36-46,0,0,0,0,0,0,0,2.09,0,0.72,2.51,0,0,0,0,1.49
 48-58,0,0,0,0.37,4.21,0,0,1.4,0,0,5.02,0,0,2.74,0,3.43
 60-70,0,0.62,0,0,0,0,0,1.76,0.59,1.19,11.32,1.42,0,0,1.3,9.92
 72-82,0.56,0,0,0,2.07,0,0,2.73,0,0,5.62,0,1.17,0,0,6.11
 84-94,0,0.65,1.52,0.75,5.1,0,0,3.31,0,0,1.3,0,1.44,0.7,0,12.5
 96-106,0,0,0,1.3,3.73,0,0,6.61,0,0,14.7,2.67,6.86,0,0,6.19
108-118,0,1.48,0,0,3.91,0.62,1.16,2.16,0,0,5.31,3.17,1.59,2.55,0,6.75
120,0,0,0,5.18,0,0,0,0,0,0,30.85,1.46,13.04,0,0,5
