stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,1.87,3.13,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,10.73,0,0,0,1.55,1.81,0,2.75,0,0
 24-34,0,3.24,0,0.73,0,1.08,0,3.27,0,1.29,0.96,0.65,8.2,0,0,3.16,21.56,0,1.97,0,0.73,0,0,4.85,0,2.31
 36-46,0,2.2,0,3.59,2.07,3.38,0,0,0,0,0.72,0,5.85,0,0,1.7,57.47,0,2.42,0,10.9,0,0,8.81,0,1.58
 48-58,0,0.41,0,11.19,0.47,8.25,0,0,0,2.63,0,0.39,12.8,0,0,1.65,42.79,0,0.38,0.39,4.11,0,0,15.22,0,3.03
 60-70,0,0.9,0.57,16.3,1.98,6.35,0,0,0,0,0,0,10.62,0,0,0,58.11,0,1.08,0,2.1,0,0,16.22,0,3.2
 72-82,0,1.2,1.41,11.32,0,0.91,0,0,0,0,0,0,3.76,0,0,0,12.62,1.67,3.07,0,5.42,0,0,2.77,0,5.52
 84-94,0,3.05,0,16.97,0,7.04,0.98,0,0,0,0,0,3.65,0.71,0,0,12.38,0,1.79,0,3.38,0,0,4.66,0,0
 96-106,0,1.74,12.51,20.42,1.64,25.02,0,0,1.11,0,0.57,0,13.71,0,0,0,34.71,0,3.3,0,18.84,0,0.73,0,0,6.01
108-118,0,2.75,0,9.87,1.9,5.81,0,0,0.89,0,0,0,17.79,0,0,1.67,28.12,0,1.13,0.74,12.6,0,0,2.65,2.13,3.43
120,0,5.19,0,9.56,0,7.2,0,0,0,0,0,0,21.21,0,16.84,0,15.68,0,0,1.28,3.06,0,0,0,0,10.64
