stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,90.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.07,0,0,9.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,4.21,0,0,0,0,9.66,0,0,0,0,0
 14-21,0.89,0,1.09,0,2.89,3.83,0.81,0,0,1.01,2.18,0,0,0,0,31.64,0,26.08,7.18,0,0.88,0,0,1.7,0,8.48,59.16,19.3,0,1.96,0,0
 24-34,0,0,0,0.59,1.06,1.35,3.83,0,1.46,0,0.74,1.92,0,0,0,44.96,0,31.62,69.1,4.43,0,0,0,0,0,0,11.95,108.57,0,4.71,0,0
 36-46,0,0,0,0,0,0,11.53,0,2.26,1.25,0,0.87,0,0,0,56.86,0,25.33,98.76,5.55,0,0,0,0,0,0,0,113.87,0,2.36,0,0
 48-58,0,0,0,0.43,1.46,0,12.24,0,4.26,2.16,0,1.17,0,0,0,39.82,0,15.85,166.14,0,1.22,0,5.99,0,0,0.76,0,91.52,0,1.64,0,0
 60-70,0,0,0.62,0,2.5,0,32.04,0,3.25,23.04,0,0,0,0,2.5,185.1,0,7.15,216.85,0,0,0,7.6,0,0,0,0,134.7,0,0,0,0
 72-82,0,0,0,0,0,0,36.54,0,0,7.06,0,0,0,0,0,227.73,0,11.66,329.43,0,0,0,0.6,0,0.49,0,0,119.72,0,12.02,0,0
 84-94,0,0,0,0,1.11,0,23.63,0,5.25,8.53,0.63,0,2.51,0,0,234.6,0,8.65,148.92,0.71,0,0,0,0,0,0,0,99.44,0,9.81,0.98,0
 96-106,0,0,1.95,0,0.64,0,66.46,0,0,15.48,0.81,0,0,0,0,169.38,0,5.48,212.37,0,0,0,3.4,0,0,0,0,72.87,0,3.73,0,0
108-118,0,0,3.68,0,4.47,0,22.16,0,0.77,10.58,0,0,0.43,0,0,287.29,1.04,14.19,214.96,0,1.13,0,1.69,0,0,0,0,49.43,1.53,8.34,0,0
120,0,0,0,0,6.43,0,24.62,5.82,0,2.78,0,0,10.74,2.21,0,174.98,0,19.58,431.23,0,0,0,1.12,0,1.21,0,0,42.63,0,4.33,2.57,8.45
