stage,epidermis,eye,neural,pronephros,spinal.cord
 14-21,0,0,2.2,0,0
 24-34,0.81,0.92,0,0,0
 36-46,0,0,1.98,0,0
 48-58,0,0,1.7,0,0.58
 60-70,0,2.52,0,0,0
 72-82,0,0,2.61,0.55,0
108-118,0,0,0,0.41,0
120,0,0,26.17,0,0
