stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,8.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,1.77,0,0,0,0,0
 24-34,0,1.36,0,0,205.01,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,13.9,0,0,0,0,1.4,0.7,0,3.44,0,0,0,0,0
 36-46,0,0.56,0,0,304.77,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,10.31,0,0,1.9,0,0,0,0,0
 48-58,0,8.63,0,0,2191.44,0,0,3.06,16.59,0,0,1.23,0,0,0,0,0,2.38,0.45,0,7.57,96.68,0,0.38,0,0,24.72,0,0,5.42,0,0,0,0,3.21
 60-70,0,1.27,2.71,0,6559.35,0,1.4,0,8.94,0,0,0,2.59,6.11,0,0,0,32.35,0,0.71,1.36,137.34,0,0,0,0,30.26,4.67,0,18.52,0,0,0,0,9.76
 72-82,0,9.16,0.52,0,4428.99,0,0,0,3.67,2.58,1.12,0,0,0,0,0,4.08,13.92,0,0,5.94,100.44,0,0,5.19,0,16.41,0,2.66,2.09,1.87,0,2.89,1.53,17.42
 84-94,0,10.66,0,0,5053.74,0.76,19.74,7.26,17.2,4.78,0,0.78,1.33,0,2.31,7.55,2.99,27.09,0,0.74,7.49,86.36,0.62,0,5.61,0,32.79,0.93,0,1.33,0,1.4,0,1.2,0
 96-106,0,11.66,2.57,0,2618.22,0,3.98,0,9.08,1.72,0,0,5.33,0,3.98,0,17.08,11.53,1.2,0,0,45.06,0,0,4.84,0,26.9,0,0,0.68,0,0,7.08,1.1,10.69
108-118,0,7.82,1.12,0.56,2028.05,0,1.12,1.03,6.74,0,0,0,0,0,0,1.04,4.28,14.65,0,1.28,1.07,73.23,0,0,2.78,0,16.03,0,0,1.51,0,2.08,1.66,0,0
120,0,1.36,0,0,1728.33,0,6.9,8.81,9.39,0,0,0,0,0,8.53,2.98,0,26.52,0,0,3.22,74.27,0,9.62,21.15,0,23.19,0,0,0,0,0,13.8,0,0
