stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,67.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,9.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.72,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,24.96,0,0,0.83,0,0,1.37,4.47,7.29,0,0,0,0
 24-34,0,1.27,0.83,2.14,0,0,0,0,0,0,4.99,0,0,0,4.88,0,0,0.83,59.46,1.43,0,0,0,3.35,0,0,12.24,0,0,6.08,0
 36-46,0,0,0,8.05,0,0,0,0.82,0,0,8.23,0.86,0,0,1.65,0.58,0,1.08,57.88,0,0,0,0,4.55,0,0,11.55,0,0,2.83,0
 48-58,0,3.67,0,20.74,0,0,0,2.51,0,0,12.85,0,0,0,3.34,0,1.2,4.73,59.85,0,0,0,0,5.05,0,0,9.64,0,0,9.38,0
 60-70,0,4.29,6.98,27.19,0,0,0,3.89,0,0,57.96,0,0,1.06,8.71,0.85,0,0.73,43.34,0,0,0,0,1.22,0,0,5.44,0,0,0,0
 72-82,0,0.66,0.91,28.04,0,0,0,2.81,0,0.58,51.49,0,0,0,4.98,0,0,0,24.68,0,0,2,0,5.21,0,0,0,0,1.24,2.39,0
 84-94,0,0,0,33.13,0,2.16,0,2.85,0,0,81.28,0,0.92,0,0,0,0,1.68,16.22,0,0,0,0,7.02,0,0,1.98,0,0,10.31,0
 96-106,0,1.4,0,36.75,0,0,0.6,8.18,0.73,0,72.13,0,3.17,0,1.65,0,0,0,20.81,0,1.03,0,0,9.73,0,0,0,0.79,0,9.92,0.61
108-118,0,8.3,13.17,11.42,0.76,0.48,0,3.28,0,0,80.93,3.79,4.03,0,8.35,0,0,0,15.27,0.67,0.6,0,0,6.18,0,0,0,0,0,7.45,0
120,0,9.07,0,22.16,0,0,0,15.84,0,0,177.63,0,5.33,0,4.02,0,0,3.31,13.06,0,0,0,0,0,0,0,0,0,0,15.22,0
