stage,exocrine.pancreas,eye,glial,immune,mesenchyme,neural,periderm,spinal.cord
  7-9,0,0,0,0,0,11.32,0,0
 14-21,0,0,0,0,0,1.6,0,0
 36-46,0,0,0,0,0,8.51,0,9.64
 48-58,0,4.6,0,0,0.37,3.58,0,0
 60-70,0,0,0,0,0.84,3.26,0,0
 72-82,0,0,0,0,0,2.31,0,0
 84-94,0,0,0.71,0,0.84,1.27,2.24,0
 96-106,0,1.57,0,0.59,1.42,10.6,0,0
108-118,0.61,0,0,0,1.62,0,0,0
120,0,3.51,0,0,0,20.83,0,0
