stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,visceral.smooth.muscle
 24-34,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,30.17,0,0,0,0,0,0,0,0,0,9.07,0,1.55,1.19,0,0
 48-58,61.95,0,0.79,0,0.57,0,0,2.18,1.4,0,2.2,0,0.43,0,0,0
 60-70,35.23,0,0.94,4.4,0,0,1.47,0,1.06,0,9.41,0,0.85,0,0,0
 72-82,30.58,0,2.41,3.41,0,0,2.47,0,0,1.09,0.52,0,0,0,0,0
 84-94,73.69,3.96,2.41,2.21,0.96,0.73,0,0,0,0,6.95,1.39,1.1,0,4.38,0
 96-106,92.06,0,0,5.76,0,1.2,3.51,0,0,0,5.12,1.45,1.47,0,2.72,0
108-118,75.2,0,0.6,4.07,0,2.19,1.67,0,8.37,0,0.62,0.48,0,0,2.87,0.48
120,55.73,0,0,1.05,0,1.62,1.87,0,5.33,0,3.51,0,5.52,0,5.08,0
