stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,14.11,280.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.09,0,0,0,0,0
  5-6,12.25,217.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.67,0,0,0,0,0
  7-9,0,10.16,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,37.07,18.77,0,0,0,9.05,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.11,0,0,0,17.86,13.06,0,0,0,0,0
 14-21,0,0,0,3.62,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,2.16,0,0,0,0,7.13,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.68,0,1.61,0,0,0,0,1.09,16.72,0,1.47,0,0,32.11,0,8.65,0,0,0.81
 36-46,0,0,0,0.84,2.06,0,0,7.31,0,0,0,0,0,0.6,0,0,0,0,21.26,0,1.3,0,0,14.01,1.69,8.55,0,0,0
 48-58,0,0,0,0,6.86,0.68,0,0,0,0,0,0,0,0,0.42,0,0,0,14.45,0,0,0,0,6.91,0,3.55,0,0,0
 60-70,0,0,0,1.67,6.1,0,0,1.23,0.6,0,0,0,0,0,0.58,0.73,0,0,14.21,0,0,0,0,14.96,0,2.29,0,0,0
 72-82,0,0,0,1.49,4.83,0,0,2.53,0.67,0,0,0,0,0,2.59,0,0.81,0,11.48,0,0.88,0,0,14.52,0,1.57,0,2,0
 84-94,0,0,0,0,2.77,0,0,1.4,0,0,0,0,1.78,0,0,2.35,0,0,14.99,0,0,0.91,0,37.96,0.66,0,3.32,0,0
 96-106,0,0,0,8.31,0,0,1.07,5.41,1.16,0,0,0,0,0,0.83,0,0,0,17.73,0,0.64,0,0,28,0,0,1.68,0,0
108-118,0,0,0.77,2.17,5.08,0,0,0.58,3.91,0,0,0.47,0,1.02,0,2.77,0,0,10,0,0,1.13,0,37.5,0,0,9.32,0,0
120,0,0,0,6.21,0,0,0,0,5.14,0,0,1.69,2.02,0,0,0,0,0,6.54,0,0,1.73,0,32.36,0,0,8.55,2.71,0
