stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.69,0,0,15.44,0,0,9.15,0,0,0,0,0,0,0,0
 10-12,0,0,8.22,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,73.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.2,0,4.32,0,0,0,0,0,0,2.62,0,0,0,0,0,0.84,0,3.94,14.47,0.88,0,2.14,0,0,0,5.74,0,8.67,1.8,0,27.97,0,5.18
 24-34,0,0,0.59,1.89,2.5,0,6.91,0,0,0,0,0,1,31.44,0,0,0,0,14,3.42,0,0,27.94,0,0,0,0,4.13,0,0,0,0.7,0,0,170.82,0,57.64
 36-46,0,0,0,0,7.25,0,11.84,0,0,1.31,0,0,1.76,34.76,0,0,0,0,94.61,7.1,0,0,40.62,0,0,0,0,4.22,0,0,0,0,2.78,0,133.17,0,195.41
 48-58,0,0,0,0,0,0,19.17,0,0,0.96,2.9,0,8.08,43.72,0,3.97,0,2.22,43.03,5.15,0.68,0.63,33.49,0.39,0,0,0,2.81,0,0,0,0,8.53,0,85.31,0,199.41
 60-70,0,0,0,0,0,0,196.39,1.41,0,1.99,2.2,0,20.67,74.51,0,6.75,0,0,46.76,13.39,1.66,0,49.75,0,0,0,6.2,18.38,0,0,4.15,0,21.24,2.68,68.43,0,243.85
 72-82,0,0,0,1.03,0,0.76,312.25,1.37,0,2.52,3.26,0,15.88,57.28,0,20.66,0,1.36,56.04,11.33,1.39,0,45.61,0,0,0,2.98,10.75,0,0,0,0,7.6,5.49,75.63,5.22,181.07
 84-94,0,0,0,0,0,0,470.22,1.88,0.55,0,4.77,0,10.06,77.59,0,8.42,0,4.39,82.23,21.17,1.07,5.93,39.77,0,0.67,0,4.82,11.5,0,0,0,0,0,2.55,62.39,0,130.36
 96-106,0,0.63,0,5.02,0,0,267.98,0,0,6.95,0,0,17.61,67.43,0,6.99,0,0.7,49.98,21.82,2.02,0.71,11.77,0,0,0,2.5,4.94,0,0,0.63,0,5.5,0,81.54,0.61,146.51
108-118,0,0,0,0,0.98,0.92,280.63,0,2.03,0,1.24,0.85,9.4,58.16,0.71,11.16,0,2.23,59.38,18.19,7.26,0,36,0,0,0,1.83,8.29,0,0,0,0,0,0.57,74.29,0,149.34
120,0,0,0,1.58,4.07,0,336.26,0,3.83,2.66,15.35,0,24.61,114.44,0,17.71,3.84,0,31.03,24.5,0,0,71.24,3.58,0,0,15.95,4.87,0,0,0,0,0,19.58,145.39,1.05,82.97
