stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,16.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,35.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,0,0,0,0,0,0,0,0,0,0,0,15.02,0,0,0,0,0,0,0,0,0,0,5.47,13.99,0,0,25.39,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.32,0,0,0,23.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.14,2.12,0,6.97,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,7.3,4.13,0.85,0,0,0,0,0,1.43,2.08,0,7.75,0,0,0
 24-34,0,0,0,2.61,5.07,0,49.82,0,3.53,0,0,0,0,4.53,0.83,0,0,0,0,1.93,0,0,3.25,8.01,3.39,0,0.9,0,0,0,0,0,2.49,0,4.42,2.65,0,0
 36-46,0,0,1.72,7.65,0,0,39.75,0,4.37,0,0,0,0,3.83,0,0,0,0,0,10.87,5.89,0,0.64,38.84,0.59,2.29,0,0,0,0,0,0,0.71,0,9.44,2.39,0,0
 48-58,0,0,4.62,0.95,0,0,57.95,0,5.79,0.51,6.94,0,0,2.62,0,0,0,2.22,0,11.44,0,0,1.26,34.19,1.45,0,0.38,0,0,0,0,0,0,0,6.58,1.93,0,0
 60-70,0,0,0.95,9.6,0,0,156.28,0,0,2.5,27.34,0,0,9.99,0,0,0,0,0,8.57,0,0,3.15,29.58,0,0,2.75,0,0,0,0,0,0,0,6.38,3.18,0,0
 72-82,0,0,5.14,4.12,0,0,516.35,0,0,1.25,72.59,1.28,0,1.21,0,3.21,0.58,0,2.32,20.7,0.58,0.75,2.07,76.54,0,1.89,1.84,0,0,1.16,0,0,0.49,0,36.96,2.19,0.59,0
 84-94,0,0,0,6.76,6.89,0,688.32,0,3.85,2.69,17.97,1.45,0,12.45,0.68,0,2.29,0,0,17.96,0,0,3.1,40.23,2.07,0,0,0,0,4.06,1.4,0,0,0,9.09,1.4,0,0
 96-106,0,0,2.94,11.09,1.56,2.28,791.24,0,1.64,0,91.53,0,0,11.07,0,0.6,0,0,0,20.91,0,0,0,82.67,0,0.87,0.79,0,1.61,9.06,0,0,0.89,0.9,3.64,0,0,0
108-118,0,0,7.2,24.52,6.51,0,838.25,1.61,5.72,0,39.44,0,0,4.2,0.57,2.16,1.99,0,0,16.7,0.47,0,2.07,51.92,0,0,0,0,0,0,0,0,0,0,6.25,0,0,5.18
120,0,0,3.28,34.61,1.14,0,1091.79,0,7.56,0,30.26,0,0,12.15,0,0,0,0,0,30.72,0,0,1.42,101.22,0,0,1.59,0,0,2.08,0,0,0,0,0,0,1.8,0
