stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,80.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,90.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,9.09,0,0,0,0,0,0,0
  7-9,9.08,0,3.74,0,33.59,0,0,0,0,15.54,0,0,0,0,0,161,4.8,0,0,35.78,5.27,0,0,0,0,0,0
 10-12,0,14.59,0,0,5.17,0,0,0,0,0,0,0,0,0,0,114.01,7.29,0,0,60.72,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,2.09,0,0,0,0,0,0,0,1,0,0,4.82,0,0,0,0,0,0.81,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1,0,0,0,1.45,0,0,20.38,0,0,0.67,0,1.56,0,2.75,0,0,0,0
 36-46,0,0,0,0,6.92,0,0,0,0.83,3.2,0,0,0.78,0.56,0.6,11.6,0,0,0,0,11.89,0,1.04,0,0,2.45,0
 48-58,0,0,0,0,5.07,0,0,0,0.55,0,0,3.23,1.44,0,0.54,12.27,0.58,0.47,0,0,0,0,2.91,0,0,0,0
 60-70,0,0,0,0,18.5,0,0.59,0.9,10.87,0,1.42,0,4.67,0,0,24.91,0,0,0,0,2.22,0,4.72,0,0,0,0
 72-82,0,0,0,0,10.57,0,0,0,4.03,0,0,0,5.1,0,0,26.59,0,0,0,0,0,0,1.6,0,0,0,0
 84-94,0,0,0,1.52,1.26,0,0,0,0.61,0,0,0,1.21,0,0,6.07,0,0,0,0,0.92,0,0,1.06,0,0,2.17
 96-106,0,0,0,1.98,3.14,0,0,0,0,0,0,0,0,1.42,1.99,3.72,0,0,0,0,2.92,0,0,0,4.06,0,0
108-118,0,0,0,0,17.54,0,0,0,1.5,0,0.88,0,1.39,0,1.21,2.24,0,0,0,0,3.57,0,0,0,0,0,0
120,0,0,0,0,3.21,5.82,0,0,0,0,0,0,15.43,0,0,47.15,0,0,0,0,0,0,0,0,0,0,0
