stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.71,737.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.37,0,0,0,0,0,0,0,0,0,0
  5-6,35.38,452.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.23,0,0,0,7.9,0,8.83,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.92,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.21,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,19.75,8.18,0,0,0,0,0,3.96,1.01,0,901.39,459.76,9.86,0,0,0,0,0
 24-34,0,0,0.81,0,12.57,0.66,0,15.87,992.15,0,0,1.56,1.74,11.62,22.29,0.81,0,3.27,2.55,0.8,40.29,0,0,210.42,411.79,0.77,3.13,1.44,0,0,32,0,1.94,784.07,557.99,35.86,0,0,20.66,0,3.2
 36-46,0,0,0,0,12.82,0,0,44.83,2226.62,0,0,27.1,0,6.17,9.05,1.15,0,0,0,3.91,28.83,0,0.67,135.36,353.93,1.22,4.84,0.63,0,0,26.67,1.63,5.3,818.73,44.37,71.4,0,0,8.36,0,0
 48-58,0,0,0,0,15.19,7.06,0,215.15,2087.3,5.79,3.67,63.33,2.77,1.93,1.24,0,9.8,0.39,5.11,25.93,71.23,0,1.17,114.35,707.59,15.62,1.86,0,0,0,21.66,0,0,556.39,0,120.19,0,0.37,13.64,0,62.93
 60-70,0,0,0,0,33.64,0.6,0,216.07,1307.02,4.85,10.06,16.82,0,3.33,3.36,12.24,2.5,1.03,0,0,64.72,11.23,2.87,97.58,407.33,0,0,1.54,1.62,0,31.48,0,0.62,280.02,0,82.17,0.84,0,0.82,0,32.13
 72-82,0,0,0,0,16.17,14.81,0,232.1,896.97,4.99,3.4,26.02,1.99,0,8.57,0,5,0,3.06,0,74.34,2.13,0.7,73.93,351.2,0,2.93,4.2,9.15,0,24.59,0,0,149.38,0,57.58,0,0.52,19.14,1.41,31.71
 84-94,0,0,0.8,0,13.26,43.67,1.54,227.58,1235.89,2.31,2.79,24.33,1.83,0.8,3.86,1.18,5.66,0.78,6.66,0.83,82.56,4.2,1.4,104.17,413.35,0,4.81,0.65,0,0,24.97,0,0,283.17,0,40.13,3.88,1.04,11.44,2.35,17.37
 96-106,0,0,0,0,38.21,123.82,0.56,432.82,1875.07,2.84,8.16,90.78,1.63,6,6.49,2.92,9.68,5.26,9.06,9.89,196.67,2.92,5.48,110.93,597.72,10.38,6.76,5.77,10.66,0,83.24,0,0,280.89,0,14.25,2.44,3.84,27.79,15.2,27.79
108-118,0,0,0.41,0,18.08,15.52,5.77,282.46,1323.18,1.05,3.95,41.65,2.73,0.49,4.73,2.51,10.84,0.53,17.12,6.45,152.39,4.07,3.12,168.33,365.84,5.02,5.95,9.13,0,5.41,22.74,0,1.91,229.28,0,25.95,0,2.77,6.47,5.01,7.14
120,0,0,0,0,4.12,20.37,0,95.87,664.76,4.94,0,23,0,14.39,6.2,0,0,1.12,0,0,80.01,0,8.5,150.26,300.84,0,0,12.61,0,0,13.6,0,1.97,83.63,0,0,0,3.84,5.71,13.11,11.4
