stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,97.54,2080.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.63,0,0,0,0,0,0,0,0,0
  5-6,264.43,4468.58,0,0,0,0,0,0,0,0,0,28.47,0,0,0,0,0,0,0,0,0,0,0,110.9,17.23,0,0,10.03,0,93.31,0,0,0,0,0,0,0,0,0
  7-9,70.11,176.14,157.07,0,0,0,408.85,0,0,0,0,165.59,0,0,0,0,0,0,0,0,0,0,0,3687.72,95.42,0,0,1066.06,0,9.3,33.36,0,12.83,0,0,0,0,0,0
 10-12,0,69.81,109.38,0,0,0,261.94,0,0,0,0,54.71,0,0,0,0,0,0,0,0,0,0,0,1836.54,34.98,0,0,801,0,6.39,0,0,83.93,0,0,0,0,0,0
 14-21,0,0,3.15,19.57,1.78,0,0,0,0,2.21,2.15,0,0,0,3.06,0,0,0,0,5.4,0,0,1.95,43.94,1.73,0.87,1.02,0,0,4.79,0,11.09,0.9,0.84,9.98,11.43,0,0,0
 24-34,0,0,2.03,5.86,0,0,7.76,0,0.64,0.79,5.34,0,1.55,0.62,1.72,0,0,0.95,0.98,7.98,0,0,7.95,91.35,0,4.19,6.46,0,0,16.33,0,0,0.83,0,1.88,13.63,0,2.1,0
 36-46,0,0,0,6.77,1,0,15.48,0,1.15,0,3.53,0,0,0,0,0,0.6,0.89,0,1.86,0,0,0,51.02,0,1.08,2.2,0,0,5.92,0,0,0,0,0,3.5,0,1.61,0.81
 48-58,0,0,1.75,28.72,0,0,19.47,1.1,0.38,0.78,1.14,0,0,0,4.54,4.19,1.39,1.04,0,2.71,0,0,0.43,37.89,0,3.32,10.13,0,0,9.44,0,0,0,0,0,7.76,0,0.52,0
 60-70,0,0,0,6.22,0,0,22.02,0,1.1,4.28,1.96,0,0,0,0,0,1.05,0,0,9.18,0,0,0,50.57,0,0,0,0,0,8.3,0,0,0,0,0,2.34,0,0,0
 72-82,0,0,0,5.83,0,0,13.02,0,0,1.65,0,0,0,0,4.4,0,0,0,0,4.65,0,2.04,0,47.05,0,2.78,0,0,0,4.27,0,0,0,0,0,3.33,0.5,0,0
 84-94,0,0,0,4.37,0,0,9.17,0,2.26,1.24,1.25,0,0,0,3.66,0,1.23,0,0,4.29,0.75,0,1.43,21.07,0,7.11,2.01,0,0.6,12.51,0,0,1.09,0,0,3.26,0,0.58,0
 96-106,0,0,0,2.61,9.81,0,1.16,0,1.56,1.99,3.17,0,0,0,1.52,0,2.29,0,0,2.38,2.36,0,0,0,0,0.59,0,0,0,9.56,0,0,0,0,0,0,0,0,0
108-118,0,0,0,10.16,0,0.44,5.78,0,0.88,6.05,1.03,0,0,1.44,0,0,0,0,0,0,0,0,1.36,13.27,0,2.36,1.79,0,0,4.28,0,0,0.99,0,0,4.38,0,0.75,0
120,0,0,0,9.05,0,0,3.7,0,10.81,20.51,2.92,0,0,0,0,0,3.84,0,0,0,0,0,1.1,47.5,0,0,2.45,0,0,18.13,0,0,0,0,0,0,0,0,0
