stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0
 14-21,0,5.79,17.89,0,0,0,0,3.63,0.93,0,0,0,0,3.29,0,0,5.14,0,0,6.87,0,0,0
 24-34,0,6.96,12.99,0,0,1.84,0,4.78,0,5.21,0.63,0,0,7.63,1.78,1.64,9.3,1.22,0,46.71,0,0,0
 36-46,0,0,5.33,0,0,3.29,0,2.59,0,7.49,1.21,0.76,0,0,0,0,0.73,2.41,0,65.37,0.71,0,0
 48-58,0,0,3.79,0,2.31,0,0,0,0,8.14,0,0.77,0,0,0,0,6.1,0.6,0,55.42,0,0,0
 60-70,0,0,9.68,0,0.84,4.11,0,0,0,23.46,0,0.73,0,0.97,2.28,0,0,0,0,23.66,0,0,0
 72-82,0,0,3.13,0.52,0,4.18,0.7,0,0,33.02,0,2.49,0,0.58,2.67,0,9.31,0.65,4.89,13.63,0,0,0
 84-94,0,0,11.29,0,2.91,13.09,0,0,0,18.81,1.35,2.19,0,0.57,4.3,0,0,1.47,0,53.73,0,0,0
 96-106,0,0,12.26,0,3.65,7.46,1.84,0.98,0,58.49,0,4.37,0,4.13,1.8,0,7.5,3.07,0,28.31,1.85,0.99,2.48
108-118,0,0,17.06,0,0,13.59,3.34,1.16,0,38.71,1.98,3.12,0.42,2.88,1.15,0,6.29,0.6,1.86,27.66,0,0.84,0
120,0,0,33.49,0,0,8.73,0,0,0,16.88,0,3.25,0,13.25,0,0,15.08,0,15.67,20.92,0,0,0
