stage,axial,blastomeres,epidermis,eye,gut,lateral.line,mucous,neural,periderm,presomitic.mesoderm
  3-4,0,197.63,0,0,0,0,0,0,0,0
  5-6,0,95.64,0,0,0,0,0,6.29,0,0
  7-9,3.57,0,0,0,0,0,0,11.59,0,0
 10-12,0,0,0,8.79,0,0,0,3.86,3.3,0
 14-21,0,0,1,0,0,0,0,0.97,0,0.88
 24-34,0,0,0,0,0,0,0,0,1.8,0
 36-46,0,0,0,0,0,0,0,0,7.29,0
 60-70,0,0,0,0,0,0,0,0,0.67,0
 72-82,0,0,0,0,0,0,0,1.88,2.98,0
 84-94,0,0,6.22,0,1.04,0,0,0,0.69,0
 96-106,0,0,0,0,0.67,1.72,0,0,6.16,0
108-118,0,0,0,0,1.33,0,0,0,4.01,0
120,0,0,0,0,1.79,0,1.1,0,0,0
