stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,23.16,6.37,0,10.71,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.86,0,0,0,3.98,20.61,0,119.88,2.72,0,0,0.8,0,0
 24-34,0,6.09,1.5,0,0,0,2.96,0.71,3.42,0,17.21,2.4,0,274.01,0,0,1.51,2.22,0,0
 36-46,0,0.64,1.44,0.57,0,0,3.41,0,0,0,8.14,1.29,0,320.77,0,1.34,0,4.92,0,0
 48-58,0,0,6.27,3.38,0,0,4.3,0,1.13,0,4.48,1,1.32,168.45,0,0,0,0.8,0,0
 60-70,0,2.22,0,3.01,0,0,0.93,0,0,0.76,4.73,0,1.43,152.7,0,0,0,1.6,0,0
 72-82,0,5.64,3.91,1.09,0,1.34,2.59,1.38,2.81,0,12.81,0,0,87.2,0,0,0,0,1.21,1.3
 84-94,0,15.78,23.09,1.22,0,0.66,17.46,0,5.61,0,2.33,0,0,273.27,0,0,0,0,1.06,0
 96-106,0,41.62,7.85,7.39,0,1.26,12.74,7.11,2.71,0,2.67,0,1.65,284.98,0,0,0,0,1.86,0
108-118,0,36.75,2,2.77,4.41,2.38,12.89,0,5.84,0,8.64,0,0,169.56,0,0,0,0,2.43,0
120,0,38.31,0,18.05,0,4.35,6.77,4.73,6.18,0,0,0,3.29,141.55,0,0,0,0,0,0
