stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,65.79,223.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,268,583.93,31.37,0,0,0,65.29,0,0,457.83,0,78.05,18.85,0,0,0,0
  7-9,152.07,12.5,90.02,0,12.48,0,31.48,0,0,160.5,141.86,1091.82,0,0,0,0,0
 10-12,0,12.43,52.67,0,0,0,6.15,0,0,35.59,13.86,283.46,0,0,6.84,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.92,0,29.5,0.98,0,0
 24-34,0,0,0,0,0,1.18,0,0,1.19,1.75,0,0,0.74,0,0,0,0
 36-46,0,0,0,1.51,0,0,0,0,0,3.78,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.5,0.78,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.23,0,0,0.89,1.09,0,0,0,0,0,0.81,0
 84-94,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0.95
 96-106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
