stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4.21,47.09,3.94,0,30.25,0,0,0,16.11,0,0,0,0,0,0,0,0,21.78,0,0,23.6,360.63,0.94,3.09,2.23,8.46,0,1.56,44.11,3.13,0,46.11,97.83,0,0,0,0,0
 24-34,0,0,2.2,15.04,3.16,0,57.71,0,0,0,24.06,0,0,0.65,3.26,2.07,0.72,2.16,0.67,42.56,0,0,23,745.25,0,11.96,4.88,0,0,9.67,0,2.97,1.03,10.91,162.8,0,0,8.22,0,3.18
 36-46,0,0,0,18.12,1.73,0,91.41,0,2.62,5.42,30.43,3.69,0,0,0,10.12,1.09,3.65,0,48.87,0,0,13.91,637.45,0,16.91,3.05,0,0,22.5,0,1.34,0,0,132.95,0,0,2.42,0,0
 48-58,0,0,0,16.83,3.17,0,184.48,3.2,0,7.81,67.35,0,0.99,0,0,0,3.17,2.1,0,53.21,0,5.15,18.3,561.84,0,6.47,0,0,0.4,16.72,0,0,0,0,78.59,0,0,2.82,0,0
 60-70,0,0.57,0,4.53,0,0,223.02,0,10.99,8.96,39.34,0.62,1.77,0,0.6,3.02,4.53,0,0,100.08,0,1.3,14.7,592.02,8.78,2.79,0.62,0,0,9.08,0,0,0,0,43.19,0.65,0,3.13,4.07,0
 72-82,0,0,0,11.49,15.04,0,144.12,0,0,3.99,35.66,1.93,0,1.83,0,1.42,1.91,0,0,92.48,0,1.89,9.47,377.63,0,6.81,5.77,0,3.34,2.55,0,0,0,0,55.89,2.17,0,8.99,1.37,5.98
 84-94,0,0,0,17.43,20.39,1.52,99.59,0,4.84,0.56,32.45,0.66,0,0.74,0,0,0,0,0,54.77,0,3.63,16.27,292.92,1.83,9.24,10.72,0,0.6,23.2,0,0,0,0,39.84,0,0.89,8.01,4.88,0
 96-106,1.12,0,0,11.33,34.19,0,67.21,0,0,3.26,29.24,0.79,1.02,5.42,0.94,0.95,1.94,0,0,83.28,0,4.65,14.14,186.76,0,4.89,3.2,0,0.87,17.96,0,0,0,0,11.16,0,3.81,1.16,0.96,0
108-118,0,1.43,0,20,10.71,0,59.29,0,0.95,5.63,21.82,1.76,5.6,0.59,1.38,0,5.79,0,0,86.28,1.06,13.46,4.47,243.12,4.4,5.22,3.55,0,1.31,16.17,0,0,0,0,0,0,0,4.76,1.22,12.94
120,0,0,0,54.13,22.28,0,181.92,0,6.33,1.29,110.11,15.65,3.8,2.29,0,0,10.6,0,0,221.14,0,17.43,24.24,744.03,1.25,7.9,0,0,6.29,30.55,0,3.93,0,0,34.88,1.98,0,7.98,4.07,0
