stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.57,21.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,9.7,0,0,0,0,0,4.75,0,0,0,0,0,0
 14-21,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.79,9.32,0,0,0,0,0,6.12,5.42,0,525.91,180.99,3.78,0,0,0,0,0
 24-34,0,0,4.96,0.87,0,3.55,186.83,0,0,3.47,0,7.48,0,0.66,0,0,0.65,0,6.51,5.25,0.82,82.45,135.16,0,1.59,0,0,0,11.64,0,0,260.54,139.91,7.73,0,0,5.34,0,23.54
 36-46,0,0,9.91,0,0,13.77,435.66,1.4,0,5.55,0,11.02,0,0,0,0,0,0,8.21,0,0,71.48,122.15,10.93,1.21,0.58,23.5,0,22.14,0,0,267.12,11.87,18.46,0,0,6.89,0,67.72
 48-58,0,0,15.25,1.88,0,51.06,340.11,0,1.87,6.02,0,11.43,0,0,0,0,7.35,0,18.82,0.49,1.2,53.64,177.67,0,0,1.75,0,0,11.34,0,0,157.47,0.55,28.08,0,0.37,3.4,0,174.83
 60-70,0,0,14.42,1.4,0,51.93,242.71,1.18,0,0.67,0,14.73,1.52,0,0,0,0,0.72,14.29,0.62,8.38,68.51,116.05,0,0,3.57,0,3.93,6.58,0,6.53,87.9,0,10.31,0,2.22,10.31,0,149.32
 72-82,0,0,11.98,3.17,0,89.91,181.63,0,2.76,6.76,0,7.46,2.95,0,0,0,1.36,0,20.59,0,1.07,80.23,153.12,0,0.93,0,0,0,2.48,0,2.57,43.5,0,12.64,2.98,8.44,0,1.09,170.4
 84-94,0,0,3.41,9.31,1.39,62.15,233.01,1.5,7.48,12.63,0.58,13.55,2.93,0,0.62,1.1,8.59,0,23.06,0,0,58.77,108.61,0,0,0,0,0,8.01,0,3.88,59.67,0,27.79,0,12.26,3.82,0,64.04
 96-106,0,0,7.01,2.97,0,97.96,376.96,0,1.02,13.51,0,9.09,1.91,0,0,0,15.7,0,48.01,0,0,63.18,173.52,0,0.59,2.02,15.48,0.87,13.74,0,0,89.82,0,9.12,0,16.76,4.9,0,118.99
108-118,0,0,7.08,7.31,11.61,69.78,290.68,1.85,6.03,8.81,1.23,5.59,4.58,0,0.63,0.5,0.7,1.73,32.64,0,3.55,99.92,124.53,0,0,6.99,0,2.26,15.16,0,0,63.67,0,9.19,0,6.95,1.85,0,86.79
120,0,0,8.04,10.27,0,54.51,224.31,14.64,3.73,16.04,0,2.09,1.31,0,4.95,0,2.58,0,32.45,0,0,77.67,79.88,0,0,0,0,0,0,0,0,25.26,0,0,0,10.58,0,0,29.34
