stage,axial,blastomeres,endoderm,eye,glial,gut,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,31.21,0,0,0,0,0,0,0,0,0,20.94,0
  5-6,6.23,52.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,30.81,0,0,0
 10-12,0,0,5.78,0,0,0,0,0,0,7.01,16.27,0,0
 14-21,0,0,0,0,0,0.97,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.86,0,0,10.48,0,0,4.28
 36-46,0,0,0,0,0,0,0,0,0,0.8,0,0,0
 48-58,0,0,0,6.83,0,0,0,0,0,7.11,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,15.15,0,0,5.44
 72-82,0,0,0,3.4,0,0,0,2.57,0.56,28.38,0,0,2.03
 84-94,0,0,0,0.86,0,0,0,0,0.56,13.93,0,0,2.26
 96-106,0,0,0,0.9,2.29,0,0,0,0,15.46,0,0,2.28
108-118,0,0,0,5.35,3.62,0,0,0,0,9.14,0,0,0
120,0,0,0,3.44,0,0,0,0,0,10.83,0,0,0
