stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,289.67,4817.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.23,0,0,0,0,0,0,0,0,0,0,0
  5-6,256.16,3808.8,0,0,0,0,0,0,0,0,0,0,0,45.15,0,0,0,0,0,0,0,0,0,0,0,103.33,17.24,0,0,36.29,77.82,0,0,0,0,0,0,0,0,0,0,0
  7-9,59.23,64.18,0,56.27,0,0,0,176.81,0,0,0,0,0,29.36,0,0,0,0,0,0,0,0,0,0,0,1362.92,41.03,0,0,444.18,0,28.8,0,9.82,0,0,0,0,0,0,0,0
 10-12,0,23.47,0,42.02,0,8.32,0,178.45,0,0,0,0,0,15.72,0,0,0,0,0,0,0,0,0,0,0,1455.02,47.48,0,0,394.43,0,31.11,0,59.85,0,14.43,0,0,0,0,0,0
 14-21,0,0,1.05,10.24,82.84,10.77,0,42.53,0,0,0,6.19,5.06,0,0,0,3.02,0.96,0.93,0,8.92,22.64,0,0,17.92,375.14,6.52,0,1.69,5.24,8.62,5.43,47.12,2.25,2.9,63.05,103.57,0,0,1.97,0,1.79
 24-34,0,0,0,3.27,13.1,0.81,0,72.64,0,1.04,7.46,7.15,1.72,0,2.24,12.25,3.85,2.35,1.12,2.13,7.55,47.7,0,0,15.52,534.1,8.79,3.11,2.77,0,9.55,0,0,1.43,1.51,23.66,124.97,0,0,6.73,0,38.75
 36-46,0,0,0,0,6.85,0,0,73.62,0.57,0.64,1.24,19.27,0,0,3.15,0,0,0.57,0.65,0,20.27,35.95,0,0.57,8.58,321.23,0,5.49,2.16,0,15.87,0,0,0,4.82,2.79,91.11,0,0,1.48,0,14.81
 48-58,0,0,0.59,0,4.61,0,0,156.46,5.61,0.87,3.26,44.43,0,0,0.85,0,5.79,0.42,0.94,0.55,21.49,43.68,0.4,2.38,10.46,276.75,0,4.47,1.79,0,14.81,0,0,0,0,0,74.09,0,0,5.54,0,30.96
 60-70,0,0,0,0,9.87,0,0,257.59,0.65,0,2.68,46.85,11.65,0,0,3.19,0,0.63,0.69,9.68,11.15,50.6,2.49,0,9.93,346.26,0.98,0,0,0,18.85,0,0,0,0,0,37,1.62,1.04,7.17,0,10.85
 72-82,0,0,1.34,0,3.89,0,0,192.08,0,3.61,0,54.1,4.35,0,0.58,7.73,0.61,1.08,2.19,4.13,3.5,67.74,0.92,0.75,8.88,243.77,0,3.13,0,0,2.51,0,0,1.42,0,0,27.28,2.83,3.67,7.32,0.57,16.63
 84-94,0,0,0,0,6.7,0.79,1.54,157.08,1.97,0.94,3.08,27.78,8.32,0,0,9.98,2.45,5.02,1.78,2.6,4.12,50.32,2.18,2.88,13.61,169.04,0.79,5.91,4.37,0,14.34,0,0,0.56,0,0,26.55,0,0,8.58,0.89,0
 96-106,0,0,0,0,6.18,0,0,137.85,0.6,0,2.35,35.4,12.49,0,0,5.7,0,0.63,0.92,4.23,14.85,26.95,3.88,1.06,6.51,132.58,2.32,5.64,0,0,9.23,0,0,0.62,0,0,6.58,0,0,7.9,0,5.46
108-118,0,0,0.71,0,8,2.17,1.8,83.18,0.5,0.47,2.95,41.37,3.48,0,0,3.28,3.55,2.84,0,3.37,3.71,38.88,0,0,7.54,207.97,0,0.55,0,0,17.57,0.48,0,0,0,0,0,3.86,0.53,6.74,1.1,11.88
120,0,0,0,0,2.9,4.4,0,85.49,0,0,0,28.62,12.01,0,0,0,2.56,5.27,0,0,0,71.09,0,0,20.47,292.67,0,0,0,0,2.52,0,0,6.1,0,0,10.12,0,0,0,0,0
