stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,8.9,0,0,0,0,0,0,139.13,4.06,0,25.02,0,0,0,0,0
 10-12,0,0,10.98,0,0,0,7.21,0,0,0,0,0,0,71.19,0,0,37.9,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.89,0,0,0,0,1.72,0,3.67,0.94,0,0,1.02,5.05,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.62,0.92,7.05,0,0,0,0.78,0,0.99,0,0
 36-46,0,0,0,0.63,0.76,0,1.41,0,0,0,0,1.32,0,3,0,1.13,0,0,6.13,0,0,0
 48-58,0,0,0,3.31,0,0,0.58,0.44,0,0.47,0,1.81,0.6,6.12,0,0,0,0,0,1.56,0,0.63
 60-70,0,0,0,0,0,0,0,0,0,0,0.69,2.86,0,5.72,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.99,0,0,0,0,6.24,0.7,10.74,0,0,0,0,1.77,2.24,2.52,0
 84-94,0,0,0,0,0,0,4.89,0,0,1.92,0,1.55,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.77,2.94,0,6.18,0,2.07,3.49,1.59,8.77,0.97,13.74,0,0,0,0,0,3.56,0,0
108-118,0,0,0,0.66,0,0.44,4.12,0,0,2.74,0,8.29,0,1.31,0,0,0,0,0,0.48,0,2.03
120,0,0,0,5.47,1.01,0,0,0,0,0,3.04,19.57,0,17.92,0,0,0,0,0,3.67,0,0
