stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,27.96,208.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,150.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.03,7.24,0,0,28.57,0,0,0,0,0,0,0,0,0,161.29,0,0,0,29.39,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.25,7.43,0,0,20.83,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,1.84,0,0,0,2.8,0,0,0,0,0.87,11.88,0,0,0,0,0,1.8,0.81,1.98,3.79,0,0
 24-34,0,0,0,0,0.76,1.96,0,0,0,0,0,0,0,1.03,0.86,21.35,1.43,0,0,0,0,0,0,0,10.35,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,2.97,0.89,17.7,0,0,0,0,0,0,0,0,1.38,0,0
 48-58,0,0,0,0,0,17.91,0,0.7,0,0,0,0,0,2.57,0,10.28,0,0,0,0,4.89,0,0,0,2.42,0.79,0
 60-70,0,0,0,0,0,1.24,0,1,0,0,1.88,0,0,2.7,0,16.77,1.81,0,0,0,0,0,0,0,2.42,0,0
 72-82,0,0,0,0,0,7.24,0,0,0,0,0,0.95,0,1.25,0,18.44,0,0,0,0,1.5,0,0,0,5.14,1.13,0
 84-94,0,0,0,0,1.14,4.41,0,0,0,0,0,0,0.67,1.77,0.6,1.77,3.1,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,1.18,0,2.31,0,0,1.32,0,0,0,0,3.62,0,2.07,0,0,0,0,0.94,0,0,0,0,0,1.06
108-118,0,0,0,0,0,1.88,0,1.28,0.56,0,0,0,0,0,0.48,0.53,0.43,0.99,0.9,0,3.14,0,0,0,0,2.5,0
120,0,0,0,0,0,17.19,0,11.16,0,0,0,0,0,7.22,0,0,0,0,0,0,1.24,0,0,0,0,0,0
