stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.94,85.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,195.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,31,0,0,0,5.02,0,0,6.96,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.92,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.96,194.12,14.38,0,37.85,0,1,0,0,0,0.83,0.84,3.34,4.31,0,0,0,8,0,0,3.11,45.51,0,1.81,0,0,0,0,1.27,0,0,4.96,0,0,5.12,0,0
 24-34,0,0,0,2.03,69.57,43.25,0,1.04,0,10.39,0,0,0,13.35,0,5.97,9.97,0,0,0,0.65,3.3,0,0.82,45.17,2.61,1.93,0,0,0,2.57,0,3.62,0,4.08,0,0,5.94,0,0
 36-46,0,0,0,0,103.75,7.49,0,1.53,0,27.83,0,0.9,0.59,22.45,2.15,28.76,13.28,0,0.74,0,3.18,5.44,0,0,87.31,4.46,1.52,5.76,0,0,0,0,0.63,0,1.06,0,0,4.41,0,0
 48-58,0,0,0,0,115.02,7.13,0,18,0.62,72.27,0,2.42,5.14,47.73,0.47,19.24,1.53,0,1.98,1.04,2.88,7.92,0,5.25,62.46,0,0.37,0,0,0,1.18,0,0.53,0,9.32,0,0,4.75,0,2.15
 60-70,0,0,0,0,209.56,23.16,0,4.91,1.08,90.69,0.84,0.97,10.38,34.33,0,37.75,0.86,0.6,3.6,5.17,9.68,16.66,0,0.82,42.3,0,6.81,9.76,0.81,0,17.54,0,1.32,0,3.45,0.92,0,5.73,0,7.06
 72-82,0,0,0,0,118.51,39.45,0,37.06,6.36,38.26,0.56,2.18,15.53,11.84,3.35,19.45,0,8.49,2.55,5.43,12.91,10,0,0.74,46.53,9.68,3.21,0.52,0,0,3.58,0,0,3.02,4.5,0.5,0,10.39,0,2.08
 84-94,0,0,0,0,175.28,93.35,0,10.05,0,67.2,0,1.2,24.71,13.92,3.49,40.59,8.02,0,0,0,16.13,8.47,0,0,34.32,0,5.49,0,0,0,20.95,0,2.16,0.59,4.32,7.73,0,2.4,0,0
 96-106,0,0,1.76,0,198.34,82.68,2.67,15.54,8.07,48.57,0,0,29.78,2.12,5.62,40.13,1.72,0,4.96,0,22.93,24.88,0,1.64,50.82,1.64,21.69,8.36,0,2.47,62.66,2.06,1.33,10.55,0.64,8.56,2.34,5.53,2.21,0
108-118,0,0,0,1.06,210.89,47.5,0,23.53,7.22,61.87,3.4,3,33.96,0,1.59,41.77,4.77,0.77,2.64,1.42,23.21,10.65,1.21,1.72,43.86,1,5.63,4.52,0,0,22.71,0,0.46,5.21,0,11.02,0,9.39,1.85,6.53
120,0,0,0,3.17,237.01,37.08,0,0,29.43,60.72,0,12.29,44.79,0,3,86.35,5.94,3.01,8.24,5.02,4.7,8.6,5.9,10.34,61.71,9.09,17.96,12.49,0,0,41.56,0,1.22,6.67,0,11.12,3.38,11.12,0,0
