stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,29.78,364.58,113.75,0,156.25,0,5.19,0,41.24,17.86,0,6.36,0,4.26,0,0,10.24,2.64,184.71,0.95,0,127.92,1556.83,48.93,3.07,22.68,62.68,0,26.55,2.22,159.63,24.98,3.47,253.31,600.9,0,0,36.8,0,4.18
 24-34,3.05,7.36,63.24,11.24,0,225.24,0,14.48,2.76,59.87,2.9,1.15,25.95,1.59,9.63,2.44,14.62,4.4,6.29,282.83,0,5.42,99.03,2373.43,23.53,21.17,18.98,0,0,54.32,0.98,0.85,13.05,0.91,31.67,562.08,0,0,212.91,0,3.72
 36-46,1.47,2,45.52,13.98,0,445.93,1.86,36.11,13.88,138.9,2.58,0,5.98,1.92,0.77,1.11,2.03,10.21,22.85,256,0.95,4.23,78.97,3354.55,9.31,19.52,13.16,0,0,60.56,0,12.21,9.7,0,0,756.94,0,0.85,197.62,0,25.97
 48-58,0,0,53.95,0,0,916.43,7.73,21.02,26.83,184.39,2.56,3.96,22.74,8.93,18.82,6.86,8.36,8.21,32.99,359.63,6.11,13.7,47.5,2688.52,9.87,12.42,15.9,0,2.3,37.66,0,0,2.7,0.46,0,525.12,0,2.7,183.44,0,41.23
 60-70,0,2.79,75.14,0.65,0,1647.29,8.07,32.13,35,210.24,2.94,0,5.25,2.45,8.57,13.47,3.37,9.44,14.51,358.52,1.01,14.35,27.28,2610.65,5.51,19.33,24.51,0,4.11,36.05,0,0,5.84,0,0,388.37,0,18.31,197.21,8.66,32.28
 72-82,2.29,0.56,40.67,18.7,0.9,1153.35,1.83,32.6,26.44,173.91,14.92,1.11,12.23,6.84,9.05,7.53,6.29,2,10.3,450.02,4.15,35.45,40.35,1782.39,1.78,20.67,34.97,0,8.14,55.14,0.56,0,4.15,1.5,0,151.91,5.36,26.25,320.71,51.68,41.1
 84-94,3.46,0.74,59.48,5.27,0,820.29,2.04,59.67,9.76,151.9,25.52,1.95,8.32,10.47,20.22,26.31,9.21,7.81,12.81,372.16,0.89,44.62,38.77,1178.45,1.32,19.66,19.66,0,6.46,106.71,0,0,8.05,0.77,0,96.76,2.72,45.76,231.95,63.5,26.79
 96-106,0,1.03,96.69,9.02,1.09,729.86,0.62,33.21,41.8,175.99,39.2,1.32,20.58,7.18,15.29,22.58,16.26,17.69,29.89,315.08,13.93,17.04,22.14,771.09,7.59,23.22,27.85,0,33.44,89.08,0,0,6.12,1.42,0,39.05,5.1,52.33,332.17,63.07,22.93
108-118,1.74,1.5,110.79,8.98,7.18,642.18,0,78.22,28.48,135.43,27.98,0,14.15,5.55,23.28,31.49,16.83,19.2,20.15,339.31,7.48,25.09,23.23,1224.72,8.15,19.49,22.44,0,35.87,90.68,1.82,0,8.45,0.9,0,43.84,5.38,45.6,216.04,58.78,27.71
120,0,3.17,96.71,28.18,2.65,634.55,2.71,61.85,21.19,205.09,15.16,0,15.36,26.2,30.1,40.85,1.13,29.4,3.12,369.64,1.05,63.76,30.87,1754.82,17.54,29.45,56.87,0,58.63,79.51,0,0,16.39,0,0,48.91,3.81,73.16,249.16,79.65,20.63
