stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.9,133.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.87,222.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,27.05,0,4.34,0,0,0,38.61,0,0,0,0,0,0,0,0,0,0,0,0,0,209.27,7.46,0,0,56.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.05,0,5.31,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,333.11,0,0,0,43.59,0,0,0,7.62,0,0,0,0,0,0
 14-21,0,0,0,0,4.79,0.94,0,0,0,0,0,0.83,1.81,0,0,0,0,0,0,1.03,3.53,22.86,0,0,0,0,0,0,1.16,0,0.85,13.36,0,0,0,0
 24-34,0,0,0,0,1.18,0.81,0,3.57,0,0,0,0.91,0,0,0,0,0,0,0,5.69,5.3,63.89,0,1.63,2.33,0,0,0,0,0,0.98,14.2,0,2.86,0,0
 36-46,0,0,0,0,0.84,0,0,6.08,3.2,0,0.73,5.68,0.95,0,0,0,0.86,1.37,2.14,17.75,2.96,96.1,0,0.83,0.63,0,0,0,0,7.49,0,7.26,0,5.36,0,0
 48-58,0,0,0.42,0,0,0,0,27.75,0,0.92,0,11.62,0,2.25,0,0,0,0.38,0,15.94,2.95,89.43,0,0.41,0,0,0,0,0,0,0,29.33,0,0.5,0,0
 60-70,0,0,0,0,0.57,0,0,44.03,0,0,1.23,12.57,0,0,0,0,0,0.66,0,34.78,4.31,182.61,0,0,0.79,0,0,0,0,0,0,18.98,1.5,0.83,0,0
 72-82,0,0,0,0,0,0,0,49.18,0,0,4.47,19.01,0,0,0,0,0,0.57,0,40.82,1.73,98.45,0.5,1.84,1.73,0,0,1.51,0,0,0,11.08,0,0.71,2.22,2.83
 84-94,0,0,0,0,2.87,0,0,31.64,0,0,0,8.36,0,0,0,0,0,0,0,26.01,2.29,54.49,0.74,0,0.64,0,0,0.94,0,0,0,16.26,0,7.13,0.89,0
 96-106,0,0,0,0,0,0,0,25.75,0,0,0,1.9,2.32,0,0,0,2.71,0,0,21.41,4.58,48.49,0,0,1.26,0,0,0,0,0,0,8.61,0,9.05,0,0
108-118,0,0,0,0,0.54,3.65,0.84,12.07,0,0,0,10.26,0,0.88,0.93,0.74,0,0,0,24.8,2.76,90.85,0,0.55,1.57,0,5.54,0.93,0,0,0,0,0,3.62,0,0
120,0,0,0,0,13.52,0,0,15.7,0,0,0,11.37,0,0,3.81,0,7.44,0,0,33.73,1.51,124.2,0,2.89,1.47,0,0,0,0,0,0,23.17,0,0,0,0
