stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.54,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,20.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.89,3.32,0,1.54,0,0,0,0,0,0,0,0,0,0,69.13,0,82.34,7.88,1.87,0,0,0,0,0,4.65,0,5.82,0,0,0,0,0
 24-34,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,200.75,0,83.69,9.81,11.47,0,1.26,0,0,0.62,0,0,0,4.41,0,1.24,0,0
 36-46,0,0,0,0,2.25,0,6.85,0,0,0,0,0,0,0,0.85,275.2,4.07,98.16,30.22,2.08,0,0,0,0,0,0,0,0,8.2,1.23,0,0,0
 48-58,0,0,1.7,0,22.38,0,8.74,2.93,0,0.44,0.57,0,0,0.48,0,351.55,1.67,62.66,42.61,1.04,0,0.63,0,0,0,0,0,0,2.06,2.16,9.59,0,1.21
 60-70,0,0,0,0,38.04,0,7.31,1.98,0,0,0,0,0,0,0,486.06,12.41,24.62,29.76,0,0,1.79,0,0,0,0,0.76,0,7.44,9.79,0,6.59,0
 72-82,0,0,0,0,119.91,0,14.94,4.27,0,0,0,0,0.74,0,0,489.88,4.77,42.94,32.74,2.6,1.32,0,0,0,0,0,0,0,5.4,17.12,9.51,10.6,0
 84-94,0,0,1.43,0,108.46,0,8.58,5.89,0,3.69,0,0,0.73,0,0,404.33,4.26,28.06,20.77,1.11,0,2.46,0,2.68,7.51,0,0,0,1.3,17.73,4.36,5.19,0
 96-106,0,0,0,0,81.67,0,4.82,1.12,1.5,0,0.65,2.7,0,0.7,0,327.32,0,13.44,36.56,3.07,0,1.22,0,0,0,0,0,0,0.99,12.99,3.54,7.36,0
108-118,0,0,0,0,93.37,1.14,7.22,3.23,1.45,0,1.24,0,0,0,2.8,378.05,0,24.77,18.92,0.59,0,0.86,0,4.59,0,0,0,0,2.95,11.37,4.55,8.03,0
120,0,0,0,2.74,44.45,0,0,0,0,0,0,0,0,0,0,253.41,0,8.56,6.14,3.37,0,0,0,0,0,0,0,0,0,0,0,32.99,0
