stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,189.09,5559.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.42,0,0,0,0,0,0,0,0,0
  5-6,87.76,1137.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.58,0,0,0,8.57,0,63.29,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.86,0,0,0,52.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.29,0,0,0,38.21,0,0,87.68,0,0,0,0,0,0,0,0
 10-12,0,30.77,0,20.5,0,0,0,54.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.61,0,0,0,67.85,0,0,15.25,0,33.39,0,0,0,0,0,0
 14-21,0,0,1.23,9.22,21.38,6.98,0,43.14,0,0,0,1.28,2.02,4.54,0,9.59,0,0,10.55,0,0,5.2,291.58,1.02,0,8.36,3.06,0,7.22,3.45,13.52,0.81,2.81,52.19,0,0,0,0
 24-34,0,0,0,2.04,3.1,0.95,0,38.42,0,0,0,2.19,0.91,0,0,19.84,0,1.77,12.15,1.58,0,6.3,161.6,0,0.85,3.88,0,0,3.64,0,0,0,1.31,11.96,0,2.87,0,0
 36-46,0,0,0,0,0.82,0,0,23.69,0,0,0,0.79,0.95,0,0,0.69,0,0,10,0,0.63,0.96,72.24,1.12,0,0,0,0,3.38,0,0,0,0,2.02,0,3.23,0,0
 48-58,0,0,0,0,3.24,0,0,9.55,0,0,0.84,0.71,0.45,0,0,2.03,0,0,5.89,0,0,8.01,11.15,0,0,0.41,0,0,0.95,0,0,0.53,0,1.69,0,0.94,0,1.97
 60-70,0,0,0,0,0,0,0,3.79,1.17,0,0,1.79,2.01,0,0,1.19,3.16,0,8.57,0,3.59,2.25,19.07,0,0,0.63,0,0,0,0,0,0,0,0,0.57,2.53,1.72,0
 72-82,0,0,0,0,0,0,0,15.02,0,0,0,3.47,0,0,0.49,5.78,0,0.79,24.94,0,1.13,1.11,7.36,0,0,0.99,0,2.75,1.1,0,0,0.64,0,0,12.71,0,0.56,0
 84-94,0,0,0,1.01,0,0,1.17,7.35,0,0,0,4.6,0,0,0,11.38,0,0,4.52,0,6.71,0.71,4,0,0,3.51,0,0,4.05,0,0,0,0,0,0,0,1.7,0
 96-106,0,0,0,0,0.64,2.78,0,56.02,0,0.97,0.64,3.07,0,0,0,13.06,1.14,0.7,13.74,0,1.34,0,10.7,0,0,1.23,0,0.79,1.81,0,0,0,0,0,1.78,6.99,0.92,0
108-118,0,0,0,0,3.94,0,0,89.46,0,0,2.67,4,0,0,0,13.46,0.43,0,13.37,0,1.84,2.35,16.53,0,0,0,0,1.19,1.15,0,0,0,0,0,10.92,0.92,0.42,0.85
120,0,0,0,0,2.4,0,0,115.22,0,0,0,6.49,0,0,0,2.4,0,1.28,7.06,0,0,6.52,13.18,0,9.62,2.59,0,0,4.94,0,0,0,0,0,1.69,0,0,0
