stage,blastomeres,epidermis,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord
  5-6,19.63,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.4,0,0,0,26.38,5.52,0
 10-12,0,0,0,0,0,0,0,0,10.94,0,0
 14-21,0,0,0,0,0,0,0,1.46,11.36,0,2.3
 24-34,0,0,2.95,0,0,0,0,0,21.21,0,2.33
 36-46,0,0,7.55,0,0,0,0,0,13.89,0,4.06
 48-58,0,0,5.01,0.95,0,0,0.9,0,3.98,0,0
 60-70,0,0,0.64,0,0,0,0.75,0,4.4,0,0
 72-82,0,0,0.7,0,0,0,0.71,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.82,1.74,0,0
 96-106,0,0,0,1.42,0,1.7,0,0,6.52,0,0
108-118,0,0,0,0.92,0,0,1.44,0,6.81,0,0
120,0,1.66,0,0,0,0,0,0,17.91,0,0
