stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0.85,4.02,1.04,0,0.96,0,1.82,0,1.06,4.15,0,0,0
 24-34,0,0,1.47,0,0.71,0.64,0,0,0,0,0,0,0,0,0.92,0,0,0,17.88,0,0,0,0.71,0,0,0,9.19,1,0,0
 36-46,0,0,0.7,0,2.7,0,0,1.2,0,0,0,0,0,0,0,0,0,0,22.15,0,5.89,0,4.24,0,0,0,7.75,0,0,0
 48-58,0,0,0,0,7.03,0,0,37.36,0,0,0,0,0,0,5.7,0,0,1.29,19.01,0,10.82,0,0,0,0,0,16.78,2.66,0,0
 60-70,0,0,0,0,33.46,0,0,290.8,0,0,0,0,0,0,0,0,0,0,14.68,0,9.28,0,0,0,0,0,10.22,1.22,0,0
 72-82,0,0,5.13,0,36.16,1.2,0,771.8,0.63,1.14,0,0,0,1.8,16.52,6.51,0,0.5,19.73,0,29.68,0,3.85,0,0,0,13.81,1.8,0,4.56
 84-94,0,0,1.94,0,37.82,0,0,696.86,0.66,0.8,0,0,0,0,4.96,0,0,0.68,11.4,0,17.18,0,3.39,0,0,0,8.77,0,0.75,0
 96-106,0,0.99,7.73,0,40.05,4.35,0,867.78,0,2.8,0.85,0,8.31,0,10.43,0,1.42,0,53.75,0,35.68,0,2.13,0,0,0,19.83,0,0,0
108-118,0,0,2.4,0.42,24.12,0,0,1139.84,0,0.49,0,0,0.42,0,1.23,0,0,2.26,37.25,0,42.35,0,1,0,0,0,8.86,1.59,1.74,0
120,0,0,0,0,71.59,0,3.46,1847.52,0,5.07,2.43,4.13,0,0,3.42,0,0,0,79.7,0,72.2,0,5.74,0,12.14,0,17.75,0,0,0
