stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.66,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.02,24.22,0,0,251.71,0,9.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,193.55,126.65,0,0,0,0,0,0,0,0,0,27.4,0,0,0,0,0,5.32,0,0,0,0,0,10496.85,123.11,0,0,2974.07,0,41.86,0,0,59.84,0,77.41,0,0,0,0,0,0
 14-21,0,0,5.82,4627.59,12.83,0,221.34,0,0,0,109.22,56.14,6.19,0,0,3.94,0,0,0,0,96.19,4.76,0,75.7,8354.81,292.69,1.13,4.2,126.42,0,98.03,0,737.06,7.68,137.15,1219.63,1420.51,0,0,0,0,1.92
 24-34,0,0,6.17,659.88,3.72,0,679.1,0,25.85,82.96,428.44,16.06,2.55,0,0,0.75,2.64,4,2.05,2.92,593.56,3.3,2.43,864.92,6386.5,136.03,12.42,5.43,0,0,24.04,0,11.94,0,100.46,338.07,1070.01,0,0,9.2,0,0
 36-46,0,0,0.72,311.12,0,0,1144.6,17.83,58.23,516.74,660.07,4.73,0,0,1.29,0.77,19.59,4.32,3.49,17.85,1419.77,2.36,0,1180.44,4382.08,204.98,0.81,7.58,0,0,15.26,0,2.57,0.58,122.13,2.54,1011.78,0,0,6.11,0,10.75
 48-58,1.54,0,0.6,259.32,0,0,1341.23,14.29,144.04,663.84,553.72,1.77,0,0.56,7.2,1.16,29.9,4.59,5.09,3.18,1823.21,1.31,2.93,939.11,1923.05,559.71,3.54,1.27,0,0,1.46,0,0,0,36.28,2.82,535.59,0,0,3.67,0.9,3.47
 60-70,5.25,0,0,150.23,0,0,880.3,5.76,43.15,614.27,297.35,0.82,0,0.71,0,0,42.32,19.28,0,0,1473.51,7.32,0.78,490.73,686.94,505.59,0,0,0,0,6.2,0,0,0,16.3,0,118.68,0,0,0,3.59,16.84
 72-82,0,0,0.56,155.19,6.93,0,489.27,8.01,63.64,853.31,255.79,3,1.11,0,0,2.64,46.17,7,4.33,0.82,1588.74,0.55,3.19,622.76,460.19,455.36,0.95,1.32,0,0,20.27,0,0,1.24,3.32,0,59.59,0,5.65,6.82,15.68,0
 84-94,0.62,0,0,256.62,9.27,1.48,527.19,23.02,40.79,610.01,230.24,6.19,0.64,1.94,0,6.76,109.49,18.11,3.63,0,1289.89,7.93,8.85,513.98,367.76,772.73,5.23,0,0,0,26.72,1.4,0,1.35,3.07,0,61.7,3.39,0.77,1.06,7.76,0
 96-106,3.8,0,8.8,264.12,4.35,1.25,465.97,5.65,68.9,513.85,176.85,3.04,0,3.1,3.33,0.98,33.56,14.54,8.89,0,852.45,4.31,2.48,329.63,346.95,713.06,2.02,2.62,0,1.11,28.79,0,0,0,9.13,0,74.63,4.42,2.65,0,9.84,7
108-118,2.23,0,0.68,183,6.86,5.32,549.94,9.55,29.42,488.51,205.4,5.74,0,0,3.55,0.96,61.04,14.66,2.56,0.72,1199.76,3.61,6.62,356.63,395.67,781.43,0,3.46,0,0,24.62,0,0,1.41,6.22,0,45.15,2.01,1.17,0.92,6.35,2.33
120,5.85,0,6.35,67.9,8.44,1.62,418.32,7.61,9.23,382.77,116.99,1.44,0,0,2.18,0,15.75,23.28,0,0,813.52,1.16,3.2,132.86,447.28,1010.81,0,0,0,0,9.79,0,0,5.04,0,0,35.97,0,0,16.39,0,0
