stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,366.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0
  5-6,21.48,168.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,114.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71,7.99,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,148.96,0,21.61,0,0,0,1142.31,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,3706.52,0,0,0,94.99,4.05,0,11.11,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1341.35,5.73,0,127.32,0,0.87,0,4.6,0,2.23,0,0,0,0,0,0,16,5.47,0,2.53,4837.63,0,247.77,3.82,0.92,25.87,23.23,0.84,2.85,8.38,70.94,0,0,0,0,0
 24-34,0,0,0,0,431.75,2.3,0,25.24,0,40.78,0,127.4,1.01,0,0,0,11.22,0,12.03,0,20,1.64,0,4.05,4392.9,0,253.55,0,0,49.89,1.95,0,0,0.68,57.93,0,0,1.98,0,0
 36-46,0,0,0,0,94.47,1.35,0,8.31,0,48.02,0,129.35,0,1.6,1.95,1.67,2.22,0,0,0,8.09,2,0,3.25,3278.6,1.69,59.03,0,0,90.91,0,0,0.72,0,54.32,0,0,1.07,0,0
 48-58,0,0,0,0,79.95,0,0,72.03,0,47.25,0,88.09,1.36,0,0,0,21.25,1.18,0,0,17.53,2.52,0,1.11,1972.21,0,27.25,0,0,127.19,0,0,7.15,0,38.73,0,0,0,0,0
 60-70,0,0,0,0,64.39,0,0,37.85,0,49.35,0.84,90.05,1.07,2.34,0.59,0,32.11,0,0,0,7.83,1.1,0.75,0,1096.48,0,5.23,0,0,236.02,0,0,0,0,7.92,0,0,0,1.92,0
 72-82,0,0,0,0,38.15,0.57,0,65.27,0,56.83,1.3,127.9,3.09,0.59,0,0,35.14,0,12.57,0,11.08,0,0,1.64,911.07,0,34.94,0,0,233.35,0,0,0,0,9.59,21.22,0.87,1.04,0,6.96
 84-94,0,0,0,0,62.94,0.73,0,58.87,0.59,111.86,0,97.29,3.46,0.76,0,0,37.81,1.95,0,0,21.29,8.15,1.73,0,525.51,0,11.32,0,0,520.19,0,0,0,0,18.53,24.49,0,0,0,6.03
 96-106,0,0,1.19,0,62.3,9.17,0,27.04,0,100.51,0,122.56,4.46,1.32,0,0,11.54,10.52,0,0,9.76,4.76,0,0,479.67,0,20.68,0,0,536.15,0,0,0,0,1.42,27.66,0,0,0,0
108-118,0,0,0,0,47.14,0,6.41,44.47,0,140.6,1,80.02,1.87,0,0,0.61,31.48,4.57,0.99,0,13.62,11.72,0,0,555.81,1.33,20.5,0,0,284,0,0,0,0,4.38,34.87,0,0.54,1.13,7.57
120,0,0,0,0,54.57,0,0,57.91,0,105.64,0,156,0,0,0,1.5,29.04,5.65,0,1.33,20.59,0,0,0,511.07,1.25,4.52,1.43,0,209.4,0,0,0,0,4.01,17.92,0,0,0,0
