stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,97.96,1322.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,257.1,2118.62,0,0,0,0,0,0,0,0,0,0,22.79,0,0,0,0,0,0,0,0,0,0,217.8,10.72,0,0,19.53,0,60.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.04,19.86,0,93.87,0,0,22.43,0,0,0,0,0,62.68,0,0,0,0,0,0,0,0,0,0,755.45,16.92,0,0,198.16,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,0,0,0,14.6,0,0,0,0,7.26,0,0,0,0,0,0,0,0
 14-21,0,0,6.52,9.5,14.53,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,2.53,145.99,0.98,0.98,0,0.99,0,3,3.89,1.34,0,2.37,0.8,84.44,0,0,1.91,0,0
 24-34,0,0,1.88,0.63,4.68,0,6.12,0,7.38,1.51,1.05,0,0,0,0,0,0,4.37,0,16.57,0,0,6,559.47,0,22.96,0.82,0,0,8.6,0,0,0,0,0.62,464.02,0,0,11.05,0,0
 36-46,0,0,0,0,5.5,0,30.44,0,2.33,0.61,0,0,0,0,0,0,0,2.7,0,24.32,0,0,5.1,1005.55,0,7.25,0,0,0,8.64,0,1.05,0,0,0,728.02,0,0,1.69,0,0
 48-58,0,0,0.65,0,5.08,0,76.99,0,1.07,4.99,22.6,0,0,0,1.11,0.38,0,1.51,0,26.47,0,0.79,2.93,1774.44,1.93,5.94,1.22,0,0,4.12,0,0,0,0,0,828.21,0,0,3.24,0,8.78
 60-70,0,0,0.77,0,10.46,0,187.3,0.95,0,11.84,29.56,6.2,0,0,3.19,0,13.09,0.72,0,42.55,0,0.85,3,2663.27,7.58,1.8,0,0,0,16.37,0,0,0.63,0,0,880.05,0,0,3.74,0,21.24
 72-82,0,0,1.28,0,4.61,4.44,231.6,0,0,5.55,21.44,3.06,0,0,5.44,0,0,1.61,0,61.26,0,21.03,3.65,2329.52,1.8,9.8,0,0,2.35,18.69,0,0,0,0,0,530.57,0.82,2.39,7.15,0.75,0
 84-94,0,0,3.43,0,10.7,0.64,235.02,2.61,0.66,3.98,16.38,2.16,0,3.62,6.22,0.69,9.84,0.66,0,58.08,0,4.35,4.76,1636.07,2.05,3.12,0.65,0,0,6.73,0,0,0,0,0,385.72,2.92,3.63,11.42,5.88,0
 96-106,0,0,2.58,0,8.69,1.8,116.55,0,0,1.47,40.45,1.46,0,0.96,0,0,1.55,0,0,51.18,0,5.96,2.21,1095.06,0.64,6.27,0.64,0,0,13.43,0,0,0,0,0,169.59,0,1.8,2.05,4.4,0
108-118,0,0,2.97,0,13.03,2.34,117.81,0,0.76,5.33,16.46,2.43,0,1.65,1.22,0.55,5.19,0,4.66,60.8,3.44,0,3.66,1177.26,2.36,2.89,0,0,0,6.14,0,0,0,0,0,88.56,0.68,0.9,3.97,3.93,0
120,0,0,0,0,3.71,4.51,171.55,0,0,15.29,38.27,0,0,0,10.93,0,0,0,0,28.57,0,0,0,1442.45,2.49,0,0,0,17.21,10.45,0,0,3.15,0,0,83.16,0,0,0,0,0
