stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,17.74,100.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.83,89.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.05,0,0,0,53.83,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,219.32,0,0,0,41.3,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,27.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.65,7.08,0,0,31.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.33,1.03,2.46,0,0,0,0,0.84,0,0,0,112.78,0,0,0,1.75,0,0,0,16.48,0,0,0,0,0.81,2.56,0.89,0.83,4.95,0,0,0,0
 24-34,0,0,1.54,0.68,0,0,5.69,0.64,0.61,8,0,0,1.18,212.23,0,4.01,0.64,5.67,0,0,4.56,103.36,0,0,0.76,0,3.07,0,0,0.61,21.25,0,0,1.38,0
 36-46,0,0,0,0.55,0.76,0,18.83,0,0,7.3,0,0,0,173.3,0,0,0,14.59,0,0,1.46,90.08,0,1.29,0.8,0,1.74,0,0,0,20.59,0,0,0,0
 48-58,0,0,0,1.13,0,0,36.83,0,0,14.72,0,0,0,102.77,0,0,0,5.67,0,0,1.34,82.36,0,0,0.43,0,4.73,0,0,0,13.79,0,0,1.56,0
 60-70,0,0,0,1.29,0,0,26.87,3.72,0,1.31,0,1.77,0,108.68,0,0,0,7.96,0,1.19,0,52.59,0,0,0,0,0.87,0,0,0,2.31,0,0,2.67,0.71
 72-82,0,0,0,2.47,0,0,21.06,0,0,5.52,1.73,0,0,99.69,0,0,0,6.37,0,0,0,36.65,0,0.92,0,0,7.33,0,0,0,4.42,1.01,0.91,2.45,0
 84-94,0,0,0,0.9,0,0,10.41,0,0,0.84,0,0,0,90.91,0.68,0,0,7.76,0,1.36,0,25.96,0,1.71,0,0,4.77,0,0,0,0,0,1.76,0.84,0
 96-106,0,0,0,4.75,1.91,0,13.84,0,0,2.22,0.6,0,0,135.1,0,3.35,0,5.84,1.47,0,2.83,15.52,0.81,0,0,0,12.62,0,0,0,0,0,0,2.04,0.61
108-118,0,0,0,4.58,4.33,0.44,19,0,0,1.55,3.57,0,1.62,118.1,3.04,0,0,15.43,1.69,0,0.9,34.96,0.56,0,0.56,0,8.48,0,0,0,2.76,0,0,3.54,0.72
120,0,0,0,7.1,1.59,0,15.53,0,0,6.92,1.51,0,0,151.28,0,1.02,0,0,0,0,5.35,14.69,0,0,0,0,16.08,0,0,0,0,0,0,7.76,0
