stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.26,619.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.79,0,0,0,0,0,0,0,0,0,0
  5-6,12.95,390.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,0,0,21.85,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,19.2,0,4.08,0,0,0,28.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.83,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.13,0,0,0,56.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.32,11.22,0,0,45.88,0,0,0,0,22.41,0,0,0,0,0,0,0
 14-21,0,0,0,0.8,29.95,1.28,0,8.47,0,0,0,4.27,1.96,0,0.9,1.35,0,0,0,0,9.5,0,0,5.78,71.47,0,0,0,0.92,0,3.83,0,15.46,0.81,5.94,14.14,0,0,1.02,0,0
 24-34,0,0,0,1.33,13.51,0.6,0,22.82,0,0.78,0,6.26,1.01,0,24.63,0,0,0,0.77,3.63,29.16,0,0,14.36,131.53,3.18,1.34,1.94,0,0,8.79,0,0,1.26,1.93,20.12,0,0,8.01,0,10.3
 36-46,0,0,0,0,11.84,17.02,0,35.91,0,0,0,14.94,0,0.99,12.08,0,0,0,0,4.62,35.77,10.02,2.04,5.59,104.87,9.44,0,0,0,0,24.54,0,0,0.56,0,28.26,0,0,12.23,0,12.13
 48-58,0,0,0,0,9.2,1.14,0,48.23,0,4.12,0.92,30.29,2.44,1.6,19.86,6.7,3.65,0.41,0,13.06,41.74,1.54,1.03,6.24,115.22,1.42,3.94,2.03,0,0,18.02,0,0,0.59,0,8.47,0,0,6.39,0,45.55
 60-70,0,0,1.1,0,21.65,0.67,0,46.86,0,2.41,4.18,87.73,2.19,3.7,52.27,0,0.85,2.56,0,11.4,62.57,0,0,3.78,82,9.27,0,1.66,0,5.87,25.86,0,0,1.54,0,6.41,0,0.8,1.45,0,58.52
 72-82,0,0,0,0,10.63,0,0,63.1,3.39,0.81,0.61,112.78,9.16,4.28,30.99,0.53,5.39,7.75,3.56,0.98,86.02,1.2,8.47,4.74,89.7,0.51,1.49,0.67,0,0,12.09,0,0,1.63,0,8.38,0,0.75,15.05,2.94,37.69
 84-94,0,0,1.05,0,24.09,1.44,0,31.76,0,2.56,3.25,70.94,7.11,2.82,40.76,0.8,11.14,1.2,1.44,4.53,70.32,3.29,1.6,3.4,67.03,1.33,2.87,7.08,0,0,71.14,0,0,5.41,0,8.09,0.71,0,11.04,1.5,38.57
 96-106,0,0,0.81,0,14.3,2.66,1.52,48.31,0,1.6,2.48,88.75,5.89,5.68,56.15,2.65,5.7,1.45,7.98,0.68,111.76,1.74,4.96,4.55,75.34,2.83,2.03,5.85,0,8.94,63.45,0,0,1.63,0,6.71,0.56,0,9.55,3.49,24.46
108-118,0,0,0,0,19.15,3.61,2.01,49.21,0,0,0.52,93.19,6.55,0.47,41.49,1.11,8.39,2.05,3.37,2.16,83.27,0.52,7.34,10.52,90.14,2.55,7.44,9.76,0,2.38,50.75,0,0,0.58,0,3.95,0.48,1.65,9.29,0,4.9
120,0,0,0,0,14.63,2.4,0,30.99,0,2.35,0,76.63,12.67,1.61,50.98,0,20.43,0,11.89,0,64.35,1.31,1.26,15.21,102.53,6.68,2.64,1.86,0,0,47.58,2.3,0,2.11,0,0,0,0,7.23,0,0
