stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,13.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,0,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.34,0,0,0,0,0.87,0,0,0,0.91,0,0,0,0,0,0,1.52,0,0,3.59,3.06,0,0,0,0,0,0,5.74,0,1.88,25.22,2.96,0,0,0,0,0
 24-34,0,0,1.88,0,23.14,1.59,0,0.71,0,0,0,0,1.01,0,0,0,2.06,0,2.05,0,0.74,0,0,2.75,83.02,0,0.95,0,0,0,0,0,4.6,11.23,17.73,30.26,0,0,7.66,0,0
 36-46,0,0,0,0,3.45,0,0,9.42,0,4.04,0,0,0,0,0,0,0,0,0,0,5.22,0,0,4.63,207.8,0,1.48,0,0,0,0,0,0,0,0.56,39.07,0,0,5.26,0,0
 48-58,0,0,0,0,2.44,0,0,8.7,0,0,3,1.15,0,0,0.83,0,2.34,0,0,0,10.82,0.37,1.07,11.26,370.31,0,1.24,0,0,0,0,0,0,0,0,54.71,0,0,10.28,0,5.58
 60-70,0,0,1.48,0,13.55,0,0,181,0,4.79,1.24,1.77,0,0,0,0.99,0,0,0,6.22,40.78,0,0.59,0.77,850.53,0,0,3.63,0,2.16,6.01,0,0,0,0,88.95,0,0,3.14,0,0
 72-82,0,0,1.58,0,14.12,0,0,649.38,0,0.91,0,18.51,1.78,0,2.59,0,1.58,3.11,6.91,0,41.62,1.31,5.07,3.65,1079.19,0,0,0.61,0,3.97,6.44,0,0,0,0,80.72,0,0,25.53,0,0
 84-94,0,0,2.24,0,10.01,5.99,0,564.48,0.57,2.02,0,29.67,0,0,2.14,5.1,5.14,0.61,0,0,34.16,0,5.16,8.42,710.26,0,0,0.89,0,0,1.2,0,0,0,0,41.4,0,0,1.82,1.1,0
 96-106,0,0,1.37,0,4.64,0,0,922,0,0,0,17.04,0.77,0,0.92,1.79,0.81,1.33,3.85,0,39.74,0,4.64,1.38,648.68,0,0,0,0,1.6,16.74,0,0,0,0,25.68,1.92,1.27,13.62,1.57,5.81
108-118,0,0,0,0,14.61,0,0,890.73,0,3.95,0,18.33,0,0,0.89,2.36,2.96,1.18,1.34,0,48.52,0,8.56,10.14,1016.04,0,0.48,1.02,0,6.35,4.92,0,0,0,0,19.81,1.12,0,10.44,4.04,1.5
120,0,0,0,1.28,30.44,0,14.33,410.77,0,3.14,5.4,18.09,0,0,0,3.91,1.67,1.91,0,0,43.19,0,0,3.56,1538.17,0,0,0,0,13.12,2.33,0,0,0,0,29.47,0,0,9.54,0,0
