stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,9.78,236.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,195.14,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.17,0,0,0,0,0,0,0,0,0,7.75,0,11.9,0,7.71,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,25.52,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.17,0,0,0,0.87,0,0,0,0,0,17.32,0,0,0,0,1.28,0,0,3.58
 24-34,0,0,0,0,0,0,0,0,0,0,3.2,0,0,6.61,0,0,1.9,0,0,0,0.68,6.71
 36-46,0,0,0,2.21,0,0,0,0,0,0,0,0,0,15.52,0,0,0,0,0,0,0,14.44
 48-58,0,0,0,0.48,0,0,0,0,0,0,0,0.38,6.66,22.79,0,0,0,0,0,0,0,6.39
 60-70,0,0,0,2.25,0,0,1.21,0,0,0,0,0,0,15.19,1.19,0,0,0,0,0,0,12.35
 72-82,0,0,0.62,12.82,0,0,0,0,0,0,0,0.94,0,36.55,0,0,0,0,0,0,0,18.45
 84-94,0,0,0.76,2.21,1.77,0,2.73,0,0,3.95,0,1.7,0,35.5,0,0,0,0,0,0,0,5.19
 96-106,0,0,1.02,6.96,0,0,0,0.73,0,0,0,2.44,0,24.34,0,0,0,0,0,0,0,1.23
108-118,0,0,0,5.1,0,0.8,0,0,0,0,0,0,0,42.36,0,0,0,0,0,1.69,0,1.31
120,0,0,0,24.79,0,0,5.73,0,8.09,0,0,0,0,88.66,0,0,0,0,0,0,0,1.64
